#Conversion,tBuOH,Conversion,iBuOH,Conversion,sBuOH,Conversion,nBuOH,,,,,,,
4.56E-06,-2.35E-08,9.11E-07,-4.63E-09,3.46E-07,-2.53E-09,2.56E-07,-2.07E-09
5.11E-06,-2.49E-08,1.01E-06,-4.80E-09,3.87E-07,-2.73E-09,2.81E-07,-2.19E-09
5.68E-06,-2.61E-08,1.11E-06,-4.92E-09,4.29E-07,-2.92E-09,3.06E-07,-2.30E-09
6.25E-06,-2.70E-08,1.21E-06,-5.00E-09,4.72E-07,-3.09E-09,3.32E-07,-2.39E-09
6.82E-06,-2.77E-08,1.25E-06,-5.03E-09,5.15E-07,-3.25E-09,3.67E-07,-2.51E-09
7.41E-06,-2.82E-08,1.38E-06,-5.05E-09,5.58E-07,-3.40E-09,4.15E-07,-2.63E-09
8.01E-06,-2.84E-08,1.48E-06,-5.01E-09,6.03E-07,-3.53E-09,4.65E-07,-2.71E-09
8.62E-06,-2.84E-08,1.66E-06,-4.87E-09,6.21E-07,-3.58E-09,4.76E-07,-2.72E-09
9.23E-06,-2.82E-08,1.86E-06,-4.58E-09,7.30E-07,-3.82E-09,5.33E-07,-2.76E-09
9.85E-06,-2.77E-08,2.04E-06,-4.22E-09,8.15E-07,-3.96E-09,5.86E-07,-2.76E-09
1.05E-05,-2.70E-08,2.29E-06,-3.58E-09,9.01E-07,-4.05E-09,6.40E-07,-2.72E-09
1.11E-05,-2.60E-08,2.51E-06,-2.87E-09,9.87E-07,-4.10E-09,6.95E-07,-2.65E-09
1.18E-05,-2.48E-08,2.74E-06,-2.03E-09,1.08E-06,-4.11E-09,7.51E-07,-2.54E-09
1.24E-05,-2.34E-08,2.93E-06,-1.25E-09,1.17E-06,-4.08E-09,8.09E-07,-2.39E-09
1.31E-05,-2.17E-08,3.21E-06,6.62E-11,1.27E-06,-4.01E-09,8.88E-07,-2.14E-09
1.38E-05,-1.97E-08,3.68E-06,2.51E-09,1.36E-06,-3.91E-09,9.98E-07,-1.69E-09
1.45E-05,-1.75E-08,3.92E-06,3.85E-09,1.39E-06,-3.87E-09,1.09E-06,-1.24E-09
1.52E-05,-1.50E-08,4.48E-06,7.41E-09,1.53E-06,-3.65E-09,1.23E-06,-4.56E-10
1.59E-05,-1.23E-08,4.99E-06,1.09E-08,1.71E-06,-3.25E-09,1.35E-06,3.36E-10
1.66E-05,-9.36E-09,5.01E-06,1.10E-08,1.82E-06,-2.95E-09,1.48E-06,1.24E-09
1.73E-05,-6.13E-09,5.70E-06,1.63E-08,2.03E-06,-2.33E-09,1.61E-06,2.27E-09
1.81E-05,-2.63E-09,6.21E-06,2.03E-08,2.22E-06,-1.64E-09,1.75E-06,3.41E-09
1.88E-05,1.13E-09,6.84E-06,2.57E-08,2.29E-06,-1.39E-09,1.86E-06,4.37E-09
1.96E-05,5.17E-09,7.45E-06,3.11E-08,2.50E-06,-5.36E-10,2.16E-06,7.32E-09
2.04E-05,9.48E-09,7.51E-06,3.16E-08,2.71E-06,4.13E-10,2.44E-06,1.03E-08
2.12E-05,1.41E-08,8.50E-06,4.10E-08,2.79E-06,7.96E-10,2.73E-06,1.36E-08
