Ret.Time, min	Absolute Intensity, A.U.	Relative Intensity
12.307	6259	0.03
12.312	5954	0.03
12.318	6665	0.04
12.323	5910	0.03
12.329	6120	0.03
12.334	6019	0.03
12.340	6272	0.03
12.345	5591	0.03
12.351	6258	0.03
12.356	6128	0.03
12.362	6371	0.03
12.367	6020	0.03
12.373	6330	0.03
12.378	6315	0.03
12.384	6237	0.03
12.389	6147	0.03
12.395	6227	0.03
12.400	5875	0.03
12.406	5955	0.03
12.411	6080	0.03
12.417	6358	0.03
12.422	5838	0.03
12.428	6528	0.03
12.433	6244	0.03
12.439	6180	0.03
12.444	6410	0.03
12.450	6681	0.04
12.455	5938	0.03
12.461	6054	0.03
12.466	6122	0.03
12.472	6440	0.03
12.477	5920	0.03
12.483	6133	0.03
12.488	5606	0.03
12.494	6540	0.03
12.499	6054	0.03
12.505	6262	0.03
12.510	6055	0.03
12.516	5512	0.03
12.521	5724	0.03
12.527	6190	0.03
12.532	5404	0.03
12.538	5763	0.03
12.543	6081	0.03
12.549	6399	0.03
12.554	5561	0.03
12.560	6042	0.03
12.565	5735	0.03
12.571	6424	0.03
12.576	6282	0.03
12.582	6013	0.03
12.587	6015	0.03
12.593	6055	0.03
12.598	6633	0.03
12.604	6277	0.03
12.609	6134	0.03
12.615	6100	0.03
12.620	6316	0.03
12.626	5749	0.03
12.631	5900	0.03
12.637	6394	0.03
12.642	6296	0.03
12.648	6322	0.03
12.653	6444	0.03
12.659	5934	0.03
12.664	6313	0.03
12.670	6364	0.03
12.675	5565	0.03
12.681	6093	0.03
12.686	5717	0.03
12.692	5761	0.03
12.697	6407	0.03
12.703	6108	0.03
12.708	5756	0.03
12.714	6314	0.03
12.719	6690	0.04
12.725	6146	0.03
12.730	5776	0.03
12.736	6200	0.03
12.741	6029	0.03
12.747	6046	0.03
12.752	7181	0.04
12.758	6059	0.03
12.763	5736	0.03
12.769	6184	0.03
12.774	6287	0.03
12.780	5882	0.03
12.785	6117	0.03
12.791	6239	0.03
12.796	6001	0.03
12.802	5853	0.03
12.807	6031	0.03
12.813	6246	0.03
12.818	6449	0.03
12.824	5854	0.03
12.829	6167	0.03
12.835	6201	0.03
12.840	6288	0.03
12.846	5794	0.03
12.851	5982	0.03
12.857	6176	0.03
12.862	6376	0.03
12.868	5901	0.03
12.873	5878	0.03
12.879	6267	0.03
12.884	6134	0.03
12.890	6216	0.03
12.895	6219	0.03
12.901	6499	0.03
12.906	5604	0.03
12.912	5875	0.03
12.917	5654	0.03
12.923	5848	0.03
12.928	6207	0.03
12.934	5824	0.03
12.939	5940	0.03
12.945	6089	0.03
12.950	6418	0.03
12.956	6162	0.03
12.961	5424	0.03
12.967	5975	0.03
12.972	5900	0.03
12.978	5947	0.03
12.983	6448	0.03
12.989	6676	0.04
12.994	6217	0.03
13.000	6169	0.03
13.005	6072	0.03
13.011	5734	0.03
13.016	5738	0.03
13.022	6595	0.03
13.027	5859	0.03
13.033	6042	0.03
13.038	5734	0.03
13.044	5500	0.03
13.049	5917	0.03
13.055	6352	0.03
13.060	6144	0.03
13.066	6120	0.03
13.071	5679	0.03
13.077	5196	0.03
13.082	5616	0.03
13.088	5726	0.03
13.093	6064	0.03
13.099	6096	0.03
13.104	6323	0.03
13.110	6569	0.03
13.115	6434	0.03
13.121	5888	0.03
13.126	6378	0.03
13.132	6507	0.03
13.137	5738	0.03
13.143	5973	0.03
13.148	6134	0.03
13.154	6035	0.03
13.159	5965	0.03
13.165	5842	0.03
13.170	6085	0.03
13.176	5840	0.03
13.181	6188	0.03
13.187	6147	0.03
13.192	5934	0.03
13.198	5895	0.03
13.203	5893	0.03
13.209	5958	0.03
13.214	6201	0.03
13.220	5992	0.03
13.225	5962	0.03
13.231	5937	0.03
13.236	5733	0.03
13.242	6227	0.03
13.247	5987	0.03
13.253	6328	0.03
13.258	6157	0.03
13.264	5625	0.03
13.269	6270	0.03
13.275	6302	0.03
13.280	6110	0.03
13.286	5880	0.03
13.291	6022	0.03
13.297	6056	0.03
13.302	6100	0.03
13.308	5904	0.03
13.313	6004	0.03
13.319	6196	0.03
13.324	6007	0.03
13.330	6215	0.03
13.335	5990	0.03
13.341	5938	0.03
13.346	6393	0.03
13.352	6315	0.03
13.357	5698	0.03
13.363	5440	0.03
13.368	6112	0.03
13.374	5941	0.03
13.379	5712	0.03
13.385	5974	0.03
13.390	6064	0.03
13.396	6709	0.04
13.401	5933	0.03
13.407	6177	0.03
13.412	5830	0.03
13.418	5916	0.03
13.423	5989	0.03
13.429	6499	0.03
13.434	6206	0.03
13.440	5892	0.03
13.445	6235	0.03
13.451	6171	0.03
13.456	6245	0.03
13.462	6373	0.03
13.467	5889	0.03
13.473	6354	0.03
13.478	6661	0.04
13.484	6073	0.03
13.489	5911	0.03
13.495	5765	0.03
