#Time,"P(t), Reactive, bar","P'(t), Reactive, bar/ms","P(t), Non-Reactive, bar"
-28.4100000,3.2570000,0.2073800,3.2725000
-28.4000000,3.2618000,0.1595300,3.2709000
-28.3900000,3.2650000,0.2392900,3.2725000
-28.3800000,3.2650000,0.0319070,3.2740000
-28.3700000,3.2634000,-0.0797630,3.2725000
-28.3600000,3.2650000,-0.0797630,3.2740000
-28.3500000,3.2618000,0.0478580,3.2725000
-28.3400000,3.2618000,0.0478580,3.2740000
-28.3300000,3.2634000,0.1754800,3.2788000
-28.3200000,3.2666000,0.2233300,3.2788000
-28.3100000,3.2698000,0.2552400,3.2788000
-28.3000000,3.2714000,0.2392900,3.2788000
-28.2900000,3.2730000,0.0478560,3.2788000
-28.2800000,3.2746000,-0.0957160,3.2756000
-28.2700000,3.2746000,-0.0957160,3.2772000
-28.2600000,3.2698000,-0.0957160,3.2804000
-28.2500000,3.2666000,-0.1276200,3.2804000
-28.2400000,3.2682000,-0.0159520,3.2820000
-28.2300000,3.2698000,-0.0319060,3.2772000
-28.2200000,3.2698000,-0.0957160,3.2740000
-28.2100000,3.2682000,-0.1914300,3.2725000
-28.2000000,3.2634000,-0.2073800,3.2740000
-28.1900000,3.2618000,-0.2233400,3.2756000
-28.1800000,3.2602000,-0.0319060,3.2740000
-28.1700000,3.2602000,-0.0159540,3.2772000
-28.1600000,3.2602000,-0.0319050,3.2788000
-28.1500000,3.2618000,-0.0797620,3.2804000
-28.1400000,3.2602000,-0.1754800,3.2788000
-28.1300000,3.2570000,-0.2871500,3.2756000
-28.1200000,3.2538000,-0.3988100,3.2725000
-28.1100000,3.2491000,-0.3509600,3.2725000
-28.1000000,3.2459000,-0.4307200,3.2740000
-28.0900000,3.2411000,-0.2392900,3.2740000
-28.0800000,3.2395000,-0.1276200,3.2772000
-28.0700000,3.2363000,-0.0319050,3.2772000
-28.0600000,3.2395000,-0.0478580,3.2756000
-28.0500000,3.2411000,0.0159530,3.2804000
-28.0400000,3.2395000,0.0159520,3.2820000
-28.0300000,3.2379000,-0.1276200,3.2836000
