,690K,,728K,,759K,,854K,,866K,,899K
-22.6,4.7058,-23,3.8766,-22.8,3.3765,-21,2.3934,-21.401,2.2704,-22.192,1.9573
-22.502,4.7292,-22.9,3.8718,-22.7,3.3893,-20.9,2.3967,-21.319,2.2822,-22.099,1.9736
-22.401,4.7566,-22.8,3.8591,-22.597,3.4025,-20.8,2.4125,-21.28,2.2871,-22,1.9799
-22.4,4.7568,-22.718,3.8759,-22.5,3.4133,-20.704,2.4233,-21.198,2.2962,-21.9,1.9895
-22.3,4.7712,-22.619,3.9018,-22.4,3.418,-20.635,2.4164,-21.1,2.304,-21.802,1.9848
-22.2,4.776,-22.587,3.9073,-22.3,3.4292,-20.593,2.4127,-21,2.3088,-21.751,1.9793
-22.1,4.7871,-22.5,3.9101,-22.201,3.4451,-20.5,2.4141,-20.9,2.32,-21.699,1.9736
-22,4.8063,-22.399,3.9102,-22.106,3.4541,-20.401,2.4315,-20.802,2.3247,-21.6,1.9847
-21.9,4.8239,-22.3,3.9261,-22.015,3.4534,-20.31,2.4489,-20.764,2.3294,-21.5,1.9895
-21.798,4.8466,-22.2,3.9468,-22,3.4531,-20.278,2.456,-20.655,2.3397,-21.399,2.0023
-21.7,4.8701,-22.1,3.958,-21.905,3.476,-20.2,2.4748,-20.558,2.347,-21.3,2.015
-21.6,4.8781,-22,3.9612,-21.803,3.5034,-20.095,2.4858,-20.5,2.3535,-21.2,2.0055
-21.5,4.8909,-21.9,3.9755,-21.748,3.5075,-20,2.4828,-20.4,2.371,-21.1,2.0086
-21.4,4.9085,-21.803,3.9956,-21.643,3.507,-19.9,2.478,-20.3,2.3742,-21.015,2.025
-21.298,4.9344,-21.7,4.0059,-21.559,3.5081,-19.8,2.4971,-20.2,2.3822,-21,2.0278
-21.186,4.9604,-21.6,4.0234,-21.5,3.5138,-19.708,2.5249,-20.09,2.3844,-20.9,2.0421
-21.074,4.9821,-21.5,4.0346,-21.401,3.5329,-19.693,2.5286,-20,2.3902,-20.726,2.0449
-20.902,5.0181,-21.393,4.0468,-21.3,3.5393,-19.598,2.5436,-19.904,2.407,-20.694,2.0461
-20.801,5.0389,-21.249,4.0706,-21.201,3.5535,-19.5,2.5545,-19.8,2.4268,-20.6,2.0581
-20.8,5.0393,-21.113,4.0917,-21.1,3.5696,-19.4,2.5625,-19.7,2.4428,-20.5,2.0613
-20.7,5.0679,-21.002,4.106,-21,3.584,-19.295,2.5614,-19.6,2.4492,-20.401,2.0708
-20.6,5.0951,-21,4.1063,-20.9,3.5936,-19.2,2.5705,-19.5,2.4492,-20.301,2.0788
-20.499,5.1145,-20.9,4.1254,-20.8,3.6079,-19.1,2.5912,-19.403,2.4678,-20.2,2.0804
-20.399,5.1399,-20.8,4.1351,-20.7,3.6159,-19,2.6168,-19.335,2.4839,-20.098,2.0885
-20.3,5.1557,-20.7,4.1367,-20.6,3.6318,-18.9,2.6279,-19.201,2.5159,-20,2.0964
-20.2,5.1621,-20.6,4.1527,-20.514,3.6649,-18.8,2.6327,-19.141,2.5256,-19.91,2.1136
-20.105,5.1924,-20.503,4.1958,-20.5,3.6701,-18.702,2.6545,-19.072,2.5317,-19.881,2.117
-20,5.2259,-20.5,4.1973,-20.4,3.6893,-18.617,2.6697,-19,2.5306,-19.702,2.1329
-19.9,5.2562,-20.4,4.2339,-20.3,3.6877,-18.577,2.6752,-18.885,2.5334,-19.664,2.1389
-19.8,5.296,-20.319,4.2469,-20.2,3.7051,-18.5,2.6838,-18.796,2.5413,-19.536,2.1571
-19.703,5.3179,-20.202,4.2515,-20.1,3.7275,-18.4,2.6934,-18.699,2.5707,-19.5,2.1618
-19.6,5.3391,-20.104,4.2592,-20,3.7419,-18.28,2.7042,-18.6,2.5913,-19.394,2.1749
-19.519,5.3727,-20.014,4.2772,-20,3.7419,-18.2,2.7157,-18.5,2.5976,-19.255,2.1844
-19.432,5.3991,-20,4.2802,-19.9,3.7706,-18.1,2.738,-18.4,2.6056,-19.172,2.1927
-19.317,5.425,-19.902,4.31,-19.833,3.776,-18,2.7539,-18.3,2.6232,-19.044,2.2056
-19.26,5.4388,-19.8,4.3409,-19.744,3.7804,-18,2.754,-18.201,2.6454,-19,2.2113
-19.2,5.454,-19.699,4.3473,-19.697,3.7825,-17.9,2.7635,-18.107,2.6618,-18.901,2.2367
-19.1,5.4859,-19.6,4.3569,-19.559,3.8201,-17.8,2.7684,-18,2.6837,-18.8,2.2479
-19.002,5.5283,-19.5,4.3839,-19.5,3.8361,-17.727,2.7927,-18,2.6838,-18.741,2.248
-18.945,5.5414,-19.4,4.4062,-19.4,3.86,-17.656,2.8199,-17.9,2.6997,-18.693,2.2483
-18.8,5.5737,-19.306,4.4348,-19.301,3.879,-17.6,2.8434,-17.8,2.7204,-18.597,2.2533
-18.7,5.5689,-19.203,4.4691,-19.2,3.8967,-17.5,2.8657,-17.719,2.7461,-18.5,2.2687
-18.6,5.6024,-19.106,4.4881,-19.13,3.9178,-17.4,2.8721,-17.686,2.756,-18.4,2.2862
-18.504,5.6804,-19,4.5116,-19,3.9541,-17.3,2.8736,-17.6,2.7779,-18.328,2.3045
-18.483,5.6909,-19,4.5116,-19,3.9541,-17.212,2.8948,-17.5,2.7635,-18.275,2.3169
-18.4,5.7252,-18.899,4.5437,-18.9,3.9605,-17.119,2.9157,-17.5,2.7635,-18.2,2.3325
-18.3,5.757,-18.799,4.5661,-18.8,3.9781,-17.092,2.9223,-17.4,2.7763,-18.1,2.3357
-18.2,5.7874,-18.7,4.5898,-18.7,4.0068,-17,2.9486,-17.383,2.7831,-18,2.3437
-18.095,5.8196,-18.6,4.6248,-18.6,4.0243,-16.9,2.9741,-17.256,2.8275,-17.9,2.3596
-17.999,5.8502,-18.5,4.6584,-18.506,4.0349,-16.805,2.9757,-17.184,2.843,-17.8,2.3787
-17.9,5.8784,-18.4,4.676,-18.5,4.0355,-16.702,2.9758,-17.098,2.858,-17.7,2.3851
-17.8,5.9213,-18.3,4.6712,-18.4,4.0594,-16.69,2.9785,-17,2.8704,-17.6,2.3884
-17.747,5.9554,-18.2,4.6935,-18.323,4.0852,-16.596,3.0044,-16.9,2.8817,-17.547,2.3977
-17.664,5.9979,-18.126,4.7311,-18.264,4.1077,-16.5,3.0412,-16.799,2.9057,-17.5,2.4059
-17.6,6.0204,-18.062,4.764,-18.188,4.1372,-16.4,3.0603,-16.7,2.931,-17.401,2.4407
-17.5,6.0395,-18,4.7956,-18.1,4.1584,-16.305,3.0874,-16.601,2.931,-17.32,2.464
-17.412,6.0802,-17.9,4.8355,-18,4.1647,-16.213,3.1167,-16.565,2.9367,-17.297,2.47
-17.36,6.1075,-17.8,4.8546,-17.9,4.1903,-16.19,3.1229,-16.5,2.947,-17.199,2.4795
-17.292,6.1431,-17.7,4.8594,-17.8,4.2253,-16.09,3.1435,-16.401,2.9785,-17.099,2.4954
-17.199,6.1802,-17.6,4.8738,-17.7,4.2621,-16,3.1592,-16.301,3.0122,-17,2.508
-17.065,6.2188,-17.5,4.9057,-17.6,4.2764,-15.9,3.1814,-16.201,3.0425,-16.9,2.5271
-16.998,6.2385,-17.4,4.9551,-17.502,4.2999,-15.833,3.2051,-16.125,3.0463,-16.8,2.5415
-16.899,6.3047,-17.301,5.0042,-17.5,4.3004,-15.785,3.2201,-16.064,3.0573,-16.704,2.5522
-16.8,6.3651,-17.265,5.0173,-17.404,4.3418,-15.69,3.2435,-16,3.0746,-16.675,2.5585
-16.698,6.4025,-17.168,5.0474,-17.34,4.3646,-15.575,3.2785,-15.904,3.1161,-16.599,2.5767
-16.585,6.4426,-17.073,5.0643,-17.277,4.3846,-15.5,3.3012,-15.878,3.1208,-16.5,2.5894
-16.49,6.4816,-17,5.0748,-17.198,4.4061,-15.4,3.3188,-15.7,3.1464,-16.403,2.6111
-16.394,6.5298,-16.901,5.1064,-17.1,4.4218,-15.307,3.3411,-15.68,3.1533,-16.352,2.6247
-16.299,6.5842,-16.804,5.1451,-17,4.4599,-15.281,3.3491,-15.581,3.1878,-16.228,2.6445
-16.196,6.6348,-16.767,5.1629,-16.9,4.4966,-15.142,3.3928,-15.5,3.215,-16.103,2.6561
-16.099,6.6817,-16.675,5.2043,-16.803,4.5104,-15.076,3.409,-15.4,3.239,-16.025,2.6707
-16,6.7415,-16.555,5.2452,-16.71,4.5353,-15,3.4224,-15.301,3.269,-16,2.6755
-15.9,6.7909,-16.5,5.2646,-16.6,4.562,-14.906,3.4645,-15.216,3.2921,-15.901,2.7024
-15.81,6.827,-16.397,5.3006,-16.502,4.5965,-14.8,3.5133,-15.164,3.305,-15.84,2.714
-15.729,6.8549,-16.3,5.3302,-16.5,4.5971,-14.714,3.5271,-15.099,3.3206,-15.744,2.7316
-15.663,6.881,-16.2,5.386,-16.401,4.6447,-14.6,3.5453,-15,3.3586,-15.672,2.745
-15.585,6.9201,-16.1,5.4321,-16.316,4.6813,-14.501,3.5848,-14.9,3.3889,-15.557,2.7662
-15.478,6.9969,-16.001,5.4558,-16.252,4.71,-14.5,3.5852,-14.801,3.4015,-15.5,2.7744
-15.397,7.0495,-16,5.4561,-16.198,4.7349,-14.4,3.6298,-14.7,3.424,-15.401,2.8093
-15.296,7.1026,-15.9,5.4896,-16.098,4.7619,-14.306,3.6524,-14.64,3.4451,-15.3,2.8461
-15.2,7.1516,-15.802,5.5427,-16,4.779,-14.204,3.6736,-14.561,3.4717,-15.224,2.8607
-15.093,7.209,-15.737,5.5709,-15.899,4.8193,-14.183,3.6806,-14.5,3.491,-15.185,2.8693
-15,7.2667,-15.601,5.6185,-15.8,4.8636,-14.099,3.7104,-14.4,3.5166,-15.093,2.8946
-14.9,7.3193,-15.5,5.6475,-15.701,4.8889,-14,3.7686,-14.341,3.5412,-15,2.9244
-14.8,7.3814,-15.5,5.6475,-15.634,4.9166,-13.9,3.8196,-14.276,3.5687,-14.9,2.9388
-14.7,7.4611,-15.4,5.6747,-15.583,4.9402,-13.843,3.8325,-14.196,3.6039,-14.8,2.9691
-14.6,7.5362,-15.317,5.7331,-15.5,4.9881,-13.725,3.8565,-14.091,3.6382,-14.705,3.001
-14.49,7.5955,-15.267,5.7659,-15.4,5.0247,-13.692,3.8641,-14,3.6746,-14.676,3.006
-14.4,7.6446,-15.194,5.8101,-15.307,5.05,-13.595,3.9019,-13.9,3.716,-14.547,3.0262
-14.306,7.7222,-15.1,5.8328,-15.217,5.0864,-13.5,3.9473,-13.805,3.7357,-14.5,3.0345
-14.239,7.7722,-15,5.8789,-15.184,5.1029,-13.4,3.9952,-13.723,3.7563,-14.401,3.066
-14.111,7.8647,-14.902,5.9323,-15.099,5.1543,-13.304,4.0352,-13.691,3.7662,-14.341,3.0891
-14.025,7.9214,-14.843,5.9559,-15,5.1939,-13.269,4.0435,-13.56,3.8208,-14.262,3.1181
-13.902,8.0021,-14.793,5.9776,-14.901,5.2303,-13.15,4.0743,-13.5,3.8469,-14.184,3.1442
-13.8,8.0931,-14.68,6.0511,-14.848,5.2562,-13.091,4.0939,-13.4,3.8804,-14.096,3.1673
-13.698,8.1632,-14.597,6.1037,-14.773,5.2909,-13,4.142,-13.3,3.9202,-14,3.1765
-13.6,8.2303,-14.5,6.1437,-14.697,5.3233,-12.9,4.2041,-13.2,3.9536,-13.902,3.1999
-13.484,8.3247,-14.4,6.1773,-14.6,5.3806,-12.814,4.2521,-13.101,3.9916,-13.886,3.2072
-13.393,8.4005,-14.3,6.2283,-14.5,5.4267,-12.756,4.2794,-13.066,4.0101,-13.8,3.2516
-13.3,8.4858,-14.2,6.2826,-14.4,5.4683,-12.684,4.3101,-13,4.0463,-13.7,3.2898
-13.2,8.5592,-14.101,6.33,-14.304,5.5232,-12.599,4.3386,-12.9,4.099,-13.6,3.3152
-13.1,8.6273,-14.038,6.375,-14.201,5.584,-12.5,4.3829,-12.817,4.1228,-13.576,3.3252
-13,8.7119,-14,6.4022,-14.101,5.626,-12.4,4.4418,-12.763,4.1433,-13.5,3.3567
-12.899,8.8055,-13.897,6.4579,-14.02,5.6478,-12.341,4.4822,-12.699,4.1713,-13.399,3.3921
-12.8,8.9003,-13.8,6.5139,-14,5.6533,-12.201,4.5703,-12.6,4.2458,-13.298,3.4311
-12.7,8.9993,-13.7,6.5889,-13.9,5.6947,-12.161,4.5841,-12.5,4.3064,-13.2,3.475
-12.6,9.0886,-13.601,6.6474,-13.808,5.7477,-12.091,4.6093,-12.4,4.3431,-13.1,3.5259
-12.5,9.1715,-13.5,6.7117,-13.708,5.8008,-12,4.6542,-12.3,4.3782,-13,3.5546
-12.441,9.238,-13.5,6.7118,-13.608,5.8517,-11.9,4.7004,-12.2,4.4388,-13,3.5546
-12.347,9.3438,-13.4,6.7708,-13.534,5.8962,-11.803,4.7329,-12.157,4.4559,-12.9,3.5705
-12.281,9.4144,-13.3,6.8218,-13.5,5.9166,-11.761,4.7542,-12.09,4.4834,-12.879,3.5807
-12.184,9.505,-13.201,6.8866,-13.4,5.9756,-11.683,4.7932,-12,4.5234,-12.795,3.6204
-12.098,9.5832,-13.101,6.9678,-13.3,6.0489,-11.6,4.825,-11.901,4.5755,-12.7,3.6599
-12,9.6885,-13.041,7.0089,-13.257,6.0727,-11.5,4.8918,-11.801,4.6268,-12.6,3.6837
-11.889,9.818,-13,7.0371,-13.162,6.1241,-11.5,4.8919,-11.7,4.6907,-12.57,3.6997
-11.701,10.017,-12.876,7.1251,-13.091,6.1626,-11.41,4.9733,-11.675,4.6999,-12.5,3.7381
-11.6,10.135,-12.748,7.2276,-13,6.2261,-11.393,4.9875,-11.51,4.7621,-12.4,3.7907
-11.502,10.258,-12.663,7.2893,-12.898,6.2913,-11.296,5.0541,-11.5,4.7659,-12.313,3.8128
-11.457,10.308,-12.592,7.3365,-12.799,6.3495,-11.2,5.1201,-11.408,4.8307,-12.205,3.8584
-11.371,10.404,-12.5,7.3835,-12.699,6.4169,-11.101,5.1675,-11.348,4.8771,-12.192,3.8665
-11.294,10.49,-12.4,7.466,-12.596,6.4907,-11.061,5.1921,-11.261,4.945,-12.1,3.928
-11.2,10.618,-12.373,7.4942,-12.5,6.5628,-11,5.23,-11.1,5.0675,-12.001,3.9723
-11.1,10.748,-12.204,7.6516,-12.4,6.6487,-10.902,5.305,-11,5.1185,-12,3.9726
-11.007,10.843,-12.161,7.6825,-12.304,6.7242,-10.807,5.3644,-11,5.1185,-11.9,3.9885
-10.952,10.907,-12.082,7.741,-12.246,6.7667,-10.746,5.4125,-10.9,5.1488,-11.87,4.0053
-10.883,10.993,-12,7.8078,-12.1,6.8757,-10.685,5.4599,-10.811,5.2296,-11.786,4.0548
-10.786,11.133,-11.899,7.9046,-12,6.9345,-10.5,5.5858,-10.765,5.2709,-11.7,4.1194
-10.694,11.277,-11.8,8.0042,-11.9,7.0031,-10.41,5.6801,-10.692,5.3341,-11.6,4.1688
-10.6,11.414,-11.699,8.0796,-11.807,7.0931,-10.378,5.71,-10.599,5.3955,-11.5,4.2229
-10.499,11.541,-11.6,8.1493,-11.768,7.1261,-10.287,5.789,-10.5,5.4823,-11.5,4.223
-10.4,11.675,-11.5,8.2307,-11.6,7.2647,-10.187,5.8657,-10.399,5.5549,-11.4,4.263
-10.301,11.845,-11.5,8.2307,-11.504,7.3577,-10.094,5.9288,-10.3,5.6279,-11.3,4.298
-10.202,12.007,-11.405,8.332,-11.5,7.3621,-10,6.0055,-10.2,5.7171,-11.247,4.3319
-10.158,12.071,-11.365,8.3808,-11.4,7.4371,-9.9009,6.1052,-10.1,5.8014,-11.186,4.3715
-10.088,12.174,-11.275,8.4889,-11.3,7.5089,-9.8488,6.1507,-10,5.8908,-11.098,4.433
-9.9884,12.334,-11.148,8.6179,-11.2,7.6047,-9.7851,6.2079,-9.8966,5.985,-11,4.4816
-9.8944,12.48,-11.072,8.6939,-11.1,7.7084,-9.6997,6.2898,-9.799,6.0799,-10.901,4.5224
-9.7992,12.64,-11,8.7619,-11.002,7.7944,-9.5999,6.4012,-9.7,6.1716,-10.856,4.5483
-9.6997,12.8,-10.9,8.8513,-11,7.796,-9.5,6.5018,-9.6042,6.2342,-10.789,4.5879
-9.6,12.973,-10.8,8.9673,-10.9,7.8884,-9.4,6.5926,-9.5761,6.2596,-10.679,4.6661
-9.5006,13.167,-10.7,9.0906,-10.853,7.9442,-9.331,6.6803,-9.5,6.3328,-10.521,4.7845
-9.4078,13.331,-10.6,9.2044,-10.772,8.0378,-9.2869,6.7341,-9.4063,6.4521,-10.5,4.8006
-9.3009,13.537,-10.5,9.3261,-10.696,8.1235,-9.1922,6.8345,-9.3887,6.4718,-10.401,4.8641
-9.1985,13.739,-10.5,9.3267,-10.599,8.2154,-9.0993,6.9236,-9.2988,6.5652,-10.3,4.9217
-9.0844,13.965,-10.4,9.4481,-10.5,8.3259,-9.0002,7.0311,-9.1999,6.6567,-10.255,4.9515
-8.9929,14.147,-10.3,9.5532,-10.4,8.4452,-9,7.0313,-9.0997,6.7607,-10.131,5.0369
-8.8509,14.453,-10.2,9.6775,-10.354,8.4884,-8.9,7.1399,-9,6.8849,-10.073,5.0807
-8.8,14.566,-10.1,9.8083,-10.288,8.5527,-8.8106,7.2609,-8.9,7.0077,-10,5.1388
-8.6985,14.765,-10.008,9.9144,-10.199,8.6525,-8.7469,7.3411,-8.8047,7.1078,-9.8999,5.2139
-8.5999,14.97,-10,9.9233,-10.1,8.7762,-8.6891,7.4129,-8.787,7.1294,-9.8002,5.295
-8.5044,15.191,-9.9001,10.049,-10,8.8889,-8.5948,7.5268,-8.6892,7.256,-9.7624,5.3326
-8.4003,15.43,-9.8096,10.175,-9.9007,9.0158,-8.5,7.6601,-8.5903,7.3839,-9.6893,5.4062
-8.2984,15.661,-9.7003,10.327,-9.802,9.1544,-8.3989,7.8003,-8.5,7.5022,-9.5999,5.4963
-8.1928,15.916,-9.6002,10.465,-9.7199,9.2617,-8.3,7.9407,-8.4001,7.6442,-9.5,5.5808
-8.0924,16.168,-9.501,10.613,-9.6023,9.4173,-8.2007,8.0959,-8.3012,7.7829,-9.3997,5.664
-8,16.402,-9.5,10.614,-9.5219,9.5222,-8.1569,8.1578,-8.2007,7.9146,-9.288,5.7639
-7.901,16.673,-9.3995,10.749,-9.5,9.5511,-8.0493,8.3106,-8.1001,8.0492,-9.1983,5.8459
-7.8017,16.947,-9.3,10.89,-9.4004,9.6749,-8,8.381,-8.0143,8.1915,-9.0995,5.9562
-7.7357,17.118,-9.2004,11.048,-9.3298,9.7748,-7.8995,8.556,-8,8.2155,-9,6.0546
-7.6815,17.263,-9.1026,11.213,-9.2365,9.9112,-7.7969,8.7262,-7.9007,8.3674,-8.9132,6.1362
-7.5819,17.547,-9.0392,11.328,-9.103,10.094,-7.63,9.0166,-7.8003,8.5211,-8.862,6.1842
-7.4785,17.856,-9,11.401,-9.0473,10.178,-7.5003,9.2295,-7.7,8.6846,-8.7938,6.2495
-7.3013,18.408,-8.8985,11.569,-9,10.25,-7.5,9.23,-7.5958,8.8543,-8.6988,6.353
-7.2193,18.66,-8.7996,11.738,-8.9033,10.432,-7.4001,9.4068,-7.5,9.0181,-8.6,6.4791
-7.2,18.72,-8.6999,11.932,-8.8558,10.512,-7.3017,9.5967,-7.4009,9.2108,-8.5024,6.6146
-7.0994,19.042,-8.6004,12.118,-8.7767,10.644,-7.2732,9.6557,-7.3021,9.4062,-8.5,6.6179
-6.9997,19.354,-8.5164,12.261,-8.6709,10.821,-7.186,9.8412,-7.2651,9.4727,-8.4036,6.7394
-6.9001,19.686,-8.5,12.289,-8.5881,10.959,-7.0971,10.04,-7.1924,9.607,-8.3505,6.7958
-6.8006,20.037,-8.4002,12.468,-8.5,11.099,-7,10.261,-7.09,9.8313,-8.2811,6.8739
-6.7008,20.394,-8.3003,12.669,-8.3993,11.288,-6.9008,10.465,-7,10.047,-8.1949,6.9892
-6.6005,20.777,-8.2002,12.868,-8.3,11.493,-6.8651,10.544,-6.9024,10.256,-8.0991,7.1328
-6.5,21.171,-8.1,13.081,-8.2001,11.689,-6.79,10.717,-6.853,10.357,-8,7.264
-6.4,21.559,-8.0001,13.301,-8.0984,11.884,-6.6975,10.956,-6.7762,10.518,-7.9,7.3787
-6.2968,21.984,-8,13.301,-8,12.08,-6.599,11.203,-6.6891,10.712,-7.7964,7.5327
-6.1866,22.442,-7.8884,13.535,-7.9001,12.305,-6.5,11.456,-6.5677,11.011,-7.6947,7.6893
-6.0911,22.848,-7.7994,13.725,-7.8058,12.506,-6.4017,11.741,-6.5,11.181,-7.5983,7.8556
-5.9934,23.283,-7.6879,13.99,-7.7661,12.584,-6.3561,11.871,-6.3839,11.487,-7.5,8.0186
-5.8853,23.765,-7.5991,14.206,-7.6955,12.724,-6.2917,12.055,-6.2925,11.751,-7.5,8.0187
-5.7074,24.63,-7.5,14.434,-7.594,12.961,-6.1994,12.301,-6.1994,12.039,-7.4229,8.1266
-5.6044,25.117,-7.3052,14.929,-7.5,13.189,-6.0986,12.596,-6.1,12.335,-7.3516,8.238
-5.6,25.138,-7.2519,15.064,-7.3915,13.454,-6,12.897,-6.0088,12.588,-7.267,8.3824
-5.5002,25.642,-7.1272,15.391,-7.2738,13.744,-5.9158,13.176,-6,12.613,-7.1,8.6918
-5.3993,26.184,-7.072,15.539,-7.1845,13.963,-5.8382,13.438,-5.8997,12.925,-7.0018,8.88
-5.2987,26.727,-7,15.732,-7.071,14.263,-5.7807,13.635,-5.7998,13.254,-7,8.8834
-5.1953,27.311,-6.9001,16.021,-7,14.456,-5.6918,13.942,-5.7,13.576,-6.8986,9.0824
