,690K,,729K,,742K,,761K,,777K,,797K,,815K,,840K,,867K,,893K
-22.298,4.6526,-22.698,3.8035,-22.813,3.5832,-22.6,3.3495,-22.7,3.1056,-22.9,2.8278,-23.2,2.6313,-22.116,2.4093,-22,2.2147,-22.32,1.9705
-22.096,4.6686,-22.5,3.835,-22.749,3.5974,-22.5,3.367,-22.6,3.1247,-22.802,2.834,-23.093,2.648,-22.042,2.4132,-21.9,2.2084,-22.231,1.9669
-22,4.6748,-22.5,3.8351,-22.674,3.6121,-22.5,3.367,-22.5,3.1247,-22.7,2.8453,-23,2.6583,-22,2.4165,-21.8,2.2068,-22.172,1.9636
-21.897,4.6915,-22.4,3.8415,-22.536,3.6285,-22.4,3.367,-22.5,3.1247,-22.6,2.8485,-22.9,2.6583,-21.903,2.4414,-21.7,2.2004,-22.097,1.9614
-21.795,4.7171,-22.2,3.8447,-22.5,3.6331,-22.3,3.3591,-22.4,3.1088,-22.5,2.8485,-22.804,2.6491,-21.886,2.4416,-21.649,2.2068,-22,1.9661
-21.67,4.738,-22.1,3.8543,-22.399,3.6363,-22.2,3.3654,-22.306,3.1177,-22.4,2.8549,-22.7,2.6472,-21.799,2.4389,-21.57,2.2183,-21.9,1.9757
-21.55,4.7626,-22,3.859,-22.3,3.6348,-22.101,3.3828,-22.265,3.1245,-22.3,2.8725,-22.601,2.6535,-21.7,2.4469,-21.5,2.2307,-21.8,1.9948
-21.404,4.7936,-22,3.859,-22.2,3.6491,-22.05,3.3956,-22.167,3.1375,-22.2,2.8916,-22.5,2.6615,-21.6,2.458,-21.4,2.2339,-21.7,1.9964
-21.305,4.8096,-21.902,3.881,-22,3.6618,-22,3.4085,-22,3.1503,-22.098,2.8964,-22.5,2.6615,-21.5,2.4532,-21.3,2.2387,-21.616,1.9871
-21.24,4.8248,-21.834,3.9014,-22,3.6618,-21.9,3.4181,-22,3.1503,-22,2.898,-22.4,2.6839,-21.5,2.4532,-21.2,2.2403,-21.501,1.9852
-21.107,4.8536,-21.74,3.9202,-21.9,3.6873,-21.8,3.4165,-21.9,3.1741,-21.9,2.9092,-22.301,2.6934,-21.401,2.4659,-21.1,2.2451,-21.5,1.9852
-21.002,4.877,-21.673,3.926,-21.8,3.6906,-21.705,3.4271,-21.8,3.1854,-21.789,2.9251,-22.27,2.6872,-21.371,2.4729,-21,2.253,-21.4,1.9884
-21,4.8774,-21.501,3.9339,-21.7,3.697,-21.666,3.4353,-21.623,3.1995,-21.699,2.9379,-22.197,2.6724,-21.248,2.5015,-20.9,2.2562,-21.353,1.9995
-20.9,4.8965,-21.5,3.934,-21.601,3.7112,-21.511,3.4712,-21.5,3.2061,-21.5,2.941,-22.1,2.6616,-21.131,2.5133,-20.8,2.2563,-21.281,2.0151
-20.801,4.8965,-21.396,3.9572,-21.5,3.7097,-21.5,3.4739,-21.4,3.2173,-21.399,2.9507,-22,2.6838,-21.049,2.5114,-20.7,2.2674,-21.198,2.0266
-20.729,4.9057,-21.3,3.9771,-21.5,3.7097,-21.385,3.4732,-21.265,3.2345,-21.239,2.9647,-22,2.6839,-21,2.5091,-20.6,2.2706,-21.099,2.0219
-20.664,4.9241,-21.197,3.9803,-21.4,3.7129,-21.206,3.4691,-21.108,3.253,-21.1,2.9746,-21.902,2.7027,-20.9,2.5059,-20.5,2.2658,-21,2.0219
-20.597,4.9516,-21.1,3.9819,-21.3,3.7369,-21.154,3.4728,-21.001,3.2681,-21,2.9937,-21.808,2.7045,-20.801,2.517,-20.5,2.2658,-20.9,2.0347
