,690K,,729K,,742K,,761K,,777K,,797K,,815K,,840K,,867K,,893K
19.133,136.67,10.5,149.08,9.6243,147.15,10.676,143.78,9.8244,141.59,8.8187,139.54,8.1621,137.16,9.1501,132.72,7.8564,129.79,6.9192,126.28
19.133,137.46,10.508,149.08,9.7001,147.09,10.701,143.79,9.9026,141.55,8.8828,139.5,8.164,137.18,9.1506,132.73,7.9004,129.75,6.9989,126.19
19.133,138.17,10.556,149.06,9.7084,147.08,10.717,143.78,9.9358,141.54,8.9061,139.49,8.1659,137.18,9.1512,132.74,7.9299,129.73,7,126.19
19.133,138.73,10.606,149.05,9.7671,147.06,10.797,143.73,10,141.53,8.9264,139.48,8.1676,137.19,9.1526,132.77,7.9564,129.71,7.0041,126.19
19.133,139.26,10.664,149.03,9.8024,147.05,10.907,143.66,10.012,141.52,8.9758,139.47,8.169,137.2,9.1541,132.79,8,129.68,7.0331,126.19
19.133,139.76,10.715,149.01,9.8378,147.04,10.977,143.62,10.093,141.47,9,139.46,8.1731,137.21,9.1555,132.81,8,129.68,7.1015,126.18
19.134,140.28,10.8,148.99,9.9025,147.04,11,143.61,10.113,141.46,9.0101,139.46,8.1772,137.22,9.1561,132.81,8.0031,129.67,7.1275,126.17
19.134,140.77,10.821,148.99,9.929,147.02,11.025,143.6,10.197,141.42,9.0374,139.46,8.18,137.23,9.1577,132.83,8.0309,129.66,7.2027,126.14
19.134,141.55,10.9,148.96,10,146.99,11.103,143.57,10.215,141.42,9.1004,139.45,8.184,137.23,9.1591,132.84,8.0898,129.64,7.2361,126.12
19.134,142.28,10.908,148.96,10.011,146.98,11.139,143.55,10.3,141.4,9.1108,139.44,8.1874,137.24,9.1601,132.84,8.1075,129.63,7.3002,126.08
19.134,142.93,10.968,148.96,10.079,146.92,11.212,143.51,10.312,141.39,9.1642,139.41,8.1907,137.24,9.1611,132.85,8.155,129.61,7.3088,126.07
19.135,144.09,11,148.96,10.103,146.9,11.3,143.46,10.381,141.32,9.2005,139.39,8.197,137.25,9.1636,132.86,8.2007,129.6,7.3699,126
19.135,145.05,11.008,148.95,10.122,146.9,11.402,143.39,10.405,141.3,9.2136,139.38,8.2013,137.25,9.1664,132.87,8.2115,129.59,7.4136,125.94
19.135,145.67,11.072,148.92,10.2,146.88,11.429,143.38,10.444,141.28,9.2969,139.32,8.2076,137.26,9.1691,132.87,8.2607,129.56,7.4999,125.85
19.135,146.25,11.101,148.91,10.207,146.88,11.5,143.36,10.5,141.25,9.305,139.31,8.214,137.26,9.1708,132.88,8.3002,129.54,7.5,125.85
19.135,146.76,11.113,148.89,10.265,146.88,11.52,143.35,10.707,141.14,9.3536,139.28,8.2206,137.27,9.1751,132.89,8.3061,129.53,7.5053,125.85
19.136,147.25,11.182,148.81,10.403,146.9,11.6,143.33,10.766,141.1,9.4026,139.26,8.2355,137.27,9.1811,132.9,8.3469,129.49,7.5467,125.83
19.136,147.68,11.201,148.79,10.429,146.89,11.623,143.32,10.806,141.08,9.4231,139.24,8.2437,137.27,9.185,132.9,8.4035,129.43,7.7001,125.79
19.136,148.37,11.214,148.79,10.5,146.85,11.707,143.29,10.882,141.04,9.5,139.19,8.2538,137.27,9.1881,132.9,8.4394,129.4,7.7114,125.78
19.136,149.44,11.285,148.8,10.509,146.85,11.756,143.28,10.917,141.02,9.7004,139.06,8.2625,137.26,9.1926,132.91,8.5,129.34,7.7828,125.74
19.136,149.68,11.308,148.8,10.581,146.79,11.81,143.27,10.999,140.99,9.7157,139.05,8.277,137.26,9.1969,132.91,8.5054,129.34,7.8088,125.72
19.136,150.02,11.392,148.82,10.61,146.77,11.848,143.26,11,140.99,9.8022,139.01,8.2924,137.25,9.2002,132.91,8.5252,129.33,7.8981,125.65
19.137,150.88,11.401,148.82,10.674,146.75,11.902,143.25,11.026,140.98,9.8394,139,8.3,137.25,9.2027,132.91,8.593,129.3,7.9055,125.64
19.137,151.53,11.418,148.81,10.71,146.74,11.927,143.23,11.101,140.94,9.9039,138.99,8.3011,137.25,9.2068,132.91,8.6022,129.3,7.9519,125.58
19.137,151.81,11.487,148.76,10.823,146.68,12,143.18,11.114,140.94,9.9523,138.97,8.3103,137.24,9.2155,132.91,8.6263,129.28,8,125.52
19.138,152.06,11.5,148.75,10.904,146.64,12.009,143.18,11.188,140.94,10,138.95,8.3353,137.21,9.2218,132.91,8.6818,129.23,8.0078,125.52
19.138,152.27,11.701,148.61,10.949,146.63,12.075,143.15,11.205,140.94,10.01,138.94,8.3637,137.18,9.228,132.91,8.7033,129.21,8.0665,125.47
19.138,152.51,11.716,148.6,11,146.62,12.201,143.1,11.242,140.92,10.091,138.89,8.3871,137.15,9.2336,132.91,8.7372,129.17,8.104,125.44
19.139,152.81,11.797,148.58,11.019,146.62,12.222,143.08,11.31,140.9,10.11,138.87,8.4006,137.13,9.2385,132.9,8.7786,129.13,8.1551,125.41
19.139,152.95,11.803,148.59,11.102,146.6,12.3,143.01,11.397,140.87,10.189,138.83,8.4086,137.13,9.2435,132.9,8.8006,129.1,8.2072,125.38
19.139,153.17,11.833,148.6,11.131,146.59,12.305,143.01,11.414,140.87,10.204,138.82,8.4452,137.1,9.2612,132.89,8.8116,129.1,8.256,125.36
19.14,153.3,11.9,148.62,11.2,146.57,12.348,143,11.5,140.86,10.251,138.81,8.4892,137.07,9.2722,132.88,8.8648,129.09,8.4003,125.29
19.14,153.4,11.911,148.62,11.216,146.56,12.401,142.99,11.506,140.86,10.301,138.8,8.5,137.06,9.2921,132.86,8.9936,129.08,8.4121,125.28
19.141,153.53,11.981,148.61,11.297,146.5,12.425,142.99,11.552,140.82,10.32,138.78,8.5036,137.06,9.3006,132.85,9,129.07,8.4883,125.22
19.141,153.6,12,148.61,11.306,146.49,12.5,142.99,11.608,140.78,10.4,138.7,8.5336,137.04,9.3083,132.84,9.0061,129.07,8.5,125.21
19.142,153.72,12.006,148.6,11.373,146.46,12.601,142.99,11.679,140.73,10.409,138.7,8.5997,137.01,9.3289,132.83,9.0474,129.04,8.7003,125.06
19.143,153.84,12.056,148.57,11.405,146.44,12.617,142.98,11.704,140.72,10.477,138.65,8.6016,137.01,9.3476,132.82,9.1019,129,8.7201,125.04
19.143,153.89,12.102,148.53,11.457,146.43,12.698,142.92,11.741,140.71,10.5,138.64,8.6176,136.99,9.3645,132.8,9.1185,128.98,8.8002,124.97
19.145,153.98,12.143,148.52,11.5,146.42,12.708,142.91,11.801,140.69,10.515,138.63,8.671,136.94,9.4,132.78,9.1411,128.96,8.8127,124.96
19.146,154.03,12.301,148.44,11.514,146.42,12.774,142.89,11.819,140.68,10.601,138.58,8.7001,136.92,9.4024,132.78,9.2,128.91,8.8931,124.91
19.146,154.07,12.335,148.43,11.601,146.42,12.808,142.87,11.885,140.64,10.628,138.56,8.7049,136.92,9.4102,132.77,9.2096,128.9,9,124.84
19.147,154.1,12.402,148.4,11.641,146.42,12.889,142.85,11.909,140.62,10.7,138.51,8.7303,136.91,9.4247,132.75,9.2394,128.88,9.0191,124.83
19.149,154.13,12.431,148.4,11.701,146.41,12.905,142.85,11.984,140.59,10.711,138.51,8.7758,136.9,9.4392,132.74,9.3005,128.84,9.1008,124.76
19.15,154.16,12.5,148.4,11.713,146.4,12.945,142.82,12,140.59,10.779,138.5,8.8013,136.89,9.4532,132.72,9.3136,128.82,9.123,124.74
19.151,154.19,12.507,148.4,11.78,146.34,13,142.78,12.031,140.58,10.803,138.5,8.8074,136.88,9.47,132.7,9.3914,128.74,9.2001,124.66
19.152,154.2,12.562,148.37,11.814,146.31,13.016,142.77,12.101,140.56,10.848,138.48,8.8201,136.88,9.5,132.67,9.4028,128.73,9.2096,124.65
19.153,154.21,12.607,148.35,11.9,146.25,13.098,142.73,12.115,140.55,10.906,138.46,8.8355,136.86,9.5057,132.66,9.4372,128.68,9.2534,124.63
19.154,154.22,12.652,148.34,11.909,146.24,13.107,142.73,12.182,140.5,10.965,138.44,8.851,136.85,9.5364,132.64,9.5,128.6,9.4,124.57
19.155,154.23,12.707,148.33,11.991,146.2,13.163,142.73,12.206,140.48,11,138.43,8.866,136.84,9.5994,132.59,9.5033,128.6,9.4088,124.56
19.155,154.24,12.765,148.33,12,146.2,13.202,142.72,12.246,140.47,11.017,138.43,8.8799,136.83,9.6015,132.59,9.5286,128.58,9.4404,124.52
19.156,154.25,12.802,148.33,12.011,146.2,13.237,142.71,12.302,140.46,11.101,138.42,8.8938,136.82,9.6177,132.58,9.6004,128.55,9.5,124.46
19.157,154.25,12.824,148.32,12.095,146.19,13.302,142.69,12.339,140.44,11.12,138.41,8.9024,136.82,9.6665,132.56,9.6107,128.55,9.6032,124.35
19.157,154.26,12.901,148.28,12.11,146.19,13.351,142.66,12.403,140.41,11.198,138.39,8.9253,136.81,9.7009,132.54,9.6421,128.55,9.6368,124.33
19.158,154.27,12.927,148.27,12.184,146.2,13.405,142.64,12.435,140.4,11.222,138.38,8.9987,136.78,9.7059,132.54,9.7005,128.54,9.7993,124.23
19.159,154.27,13,148.25,12.202,146.2,13.475,142.61,12.5,140.39,11.385,138.32,9,136.78,9.7333,132.52,9.7114,128.53,9.8241,124.21
19.16,154.28,13.021,148.24,12.227,146.19,13.5,142.6,12.514,140.4,11.411,138.31,9.0038,136.78,9.8,132.47,9.7437,128.52,9.9001,124.15
19.16,154.28,13.1,148.2,12.3,146.15,13.803,142.49,12.595,140.42,11.5,138.26,9.0336,136.77,9.8036,132.47,9.7999,128.49,9.9109,124.15
19.161,154.29,13.111,148.2,12.32,146.14,13.854,142.48,12.61,140.42,11.5,138.26,9.099,136.76,9.8384,132.45,9.8043,128.49,9.9894,124.11
19.162,154.3,13.182,148.19,12.488,146.08,13.901,142.47,12.659,140.41,11.518,138.25,9.1021,136.76,9.9,132.41,9.8412,128.45,10,124.11
19.166,154.32,13.227,148.18,12.5,146.08,13.918,142.46,12.702,140.41,11.6,138.19,9.1183,136.74,9.9037,132.41,9.901,128.39,10.008,124.1
19.17,154.33,13.3,148.16,12.511,146.07,13.996,142.4,12.73,140.38,11.625,138.17,9.1823,136.67,9.9373,132.39,9.9302,128.36,10.067,124.05
19.174,154.35,13.311,148.16,12.584,146.02,14,142.4,12.803,140.33,11.701,138.11,9.2051,136.64,9.9886,132.35,10,128.3,10.105,124.01
19.176,154.36,13.391,148.1,12.701,145.93,14.022,142.39,12.84,140.31,11.726,138.09,9.2188,136.63,10,132.34,10.008,128.3,10.147,123.99
19.179,154.37,13.405,148.09,12.722,145.92,14.104,142.34,12.902,140.28,11.8,138.04,9.2891,136.54,10.009,132.34,10.065,128.28,10.207,123.97
19.185,154.38,13.455,148.08,12.8,145.88,14.149,142.31,12.943,140.26,11.818,138.04,9.3023,136.52,10.051,132.32,10.11,128.27,10.279,123.95
19.189,154.39,13.5,148.07,12.813,145.88,14.205,142.28,13,140.24,11.901,138,9.3243,136.51,10.098,132.3,10.199,128.26,10.304,123.94
19.194,154.4,13.512,148.06,12.897,145.88,14.264,142.25,13.011,140.23,11.919,138,9.3839,136.48,10.103,132.3,10.207,128.25,10.349,123.9
19.198,154.41,13.6,148.02,12.922,145.88,14.306,142.22,13.065,140.18,12,137.99,9.4007,136.47,10.128,132.27,10.256,128.22,10.407,123.86
19.202,154.42,13.617,148.01,13,145.87,14.342,142.21,13.118,140.13,12.015,137.98,9.4117,136.47,10.184,132.22,10.4,128.14,10.48,123.79
19.215,154.44,13.7,147.96,13.015,145.87,14.404,142.19,13.2,140.07,12.07,137.96,9.4425,136.47,10.201,132.2,10.41,128.13,10.5,123.77
19.222,154.45,13.713,147.96,13.12,145.83,14.466,142.17,13.208,140.07,12.113,137.94,9.4689,136.47,10.215,132.19,10.495,128.05,10.52,123.76
19.24,154.47,13.794,147.94,13.207,145.8,14.5,142.16,13.267,140.06,12.197,137.88,9.5,136.47,10.267,132.17,10.5,128.05,10.6,123.7
19.249,154.48,13.807,147.93,13.282,145.78,14.518,142.16,13.309,140.06,12.209,137.88,9.5999,136.47,10.302,132.16,10.535,128.01,10.616,123.69
19.264,154.5,13.877,147.9,13.305,145.77,14.604,142.16,13.386,140.04,12.281,137.85,9.6019,136.47,10.319,132.15,10.601,127.94,10.7,123.65
19.28,154.51,13.908,147.89,13.354,145.75,14.65,142.16,13.427,140.02,12.305,137.84,9.6171,136.45,10.354,132.15,10.624,127.93,10.713,123.64
19.29,154.52,13.993,147.84,13.41,145.72,14.707,142.15,13.5,139.99,12.356,137.8,9.6869,136.37,10.401,132.14,10.7,127.89,10.821,123.58
19.299,154.52,14,147.83,13.486,145.66,14.774,142.12,13.606,139.95,12.401,137.78,9.7055,136.35,10.413,132.13,10.707,127.89,11,123.47
19.3,154.52,14.016,147.83,13.5,145.65,14.809,142.11,13.672,139.91,12.425,137.78,9.7499,136.32,10.473,132.09,10.752,127.89,11.027,123.45
19.307,154.52,14.1,147.8,13.533,145.63,14.879,142.11,13.704,139.89,12.5,137.78,9.8002,136.29,10.5,132.07,10.801,127.89,11.101,123.4
19.33,154.51,14.12,147.79,13.601,145.59,14.901,142.11,13.736,139.89,12.601,137.77,9.8079,136.29,10.506,132.07,10.824,127.88,11.129,123.38
19.363,154.49,14.2,147.78,13.626,145.58,14.923,142.09,13.899,139.86,12.613,137.76,9.8428,136.29,10.552,132.05,10.9,127.84,11.296,123.28
19.39,154.47,14.213,147.78,13.797,145.54,15,142.02,13.906,139.86,12.672,137.7,9.9006,136.29,10.601,132.03,10.914,127.83,11.309,123.27
19.402,154.46,14.299,147.74,13.805,145.54,15.026,142.01,13.933,139.84,12.703,137.67,9.9153,136.28,10.614,132.02,10.977,127.75,11.39,123.23
19.41,154.46,14.316,147.73,13.836,145.51,15.1,141.96,14,139.79,12.739,137.64,9.9941,136.25,10.69,131.95,11,127.72,11.409,123.23
19.45,154.44,14.4,147.7,13.9,145.44,15.109,141.96,14.021,139.77,12.9,137.54,10,136.25,10.704,131.94,11.012,127.71,11.493,123.2
19.495,154.41,14.423,147.69,13.907,145.44,15.157,141.96,14.102,139.72,12.909,137.53,10.005,136.24,10.735,131.93,11.087,127.65,11.5,123.2
19.504,154.4,14.5,147.65,13.96,145.44,15.3,141.94,14.141,139.7,12.982,137.5,10.049,136.21,10.802,131.9,11.103,127.63,11.601,123.17
19.539,154.38,14.525,147.64,14,145.43,15.322,141.93,14.203,139.67,13,137.5,10.101,136.16,10.828,131.89,11.147,127.61,11.621,123.15
19.6,154.33,14.6,147.58,14.015,145.44,15.405,141.9,14.264,139.65,13.016,137.5,10.118,136.15,10.9,131.87,11.201,127.58,11.677,123.1
19.601,154.33,14.608,147.58,14.097,145.47,15.456,141.87,14.31,139.63,13.099,137.5,10.15,136.13,10.913,131.86,11.232,127.57,11.8,122.99
19.617,154.32,14.661,147.58,14.103,145.47,15.5,141.85,14.386,139.62,13.11,137.49,10.2,136.09,10.975,131.82,11.301,127.55,11.81,122.99
19.666,154.27,14.8,147.58,14.14,145.46,15.522,141.84,14.407,139.62,13.192,137.47,10.219,136.08,11,131.8,11.327,127.54,11.861,122.97
19.7,154.23,14.81,147.58,14.205,145.44,15.6,141.81,14.461,139.59,13.304,137.44,10.3,136.04,11.007,131.8,11.404,127.5,11.904,122.96
19.703,154.23,14.878,147.54,14.256,145.42,15.618,141.8,14.5,139.57,13.363,137.42,10.305,136.04,11.055,131.78,11.444,127.47,11.957,122.93
19.719,154.23,14.903,147.53,14.311,145.39,15.699,141.75,14.521,139.56,13.403,137.4,10.348,136.03,11.101,131.76,11.5,127.43,12,122.91
19.777,154.23,14.932,147.53,14.397,145.34,15.712,141.75,14.602,139.53,13.432,137.37,10.401,136.02,11.122,131.74,11.519,127.42,12.019,122.9
19.851,154.23,15,147.53,14.422,145.32,15.784,141.74,14.634,139.51,13.5,137.3,10.412,136.02,11.218,131.66,11.6,127.39,12.1,122.84
19.9,154.23,15.007,147.53,14.5,145.26,15.808,141.74,14.7,139.47,13.512,137.29,10.474,135.98,11.3,131.59,11.607,127.38,12.118,122.83
19.902,154.23,15.059,147.5,14.509,145.26,15.879,141.75,14.714,139.45,13.593,137.23,10.5,135.97,11.312,131.58,11.663,127.33,12.2,122.78
19.924,154.23,15.112,147.47,14.569,145.25,15.906,141.75,14.799,139.36,13.61,137.22,10.522,135.96,11.389,131.54,11.705,127.3,12.221,122.76
19.988,154.2,15.2,147.4,14.607,145.24,15.964,141.74,14.803,139.36,13.697,137.18,10.64,135.91,11.414,131.52,11.768,127.25,12.3,122.71
20,154.2,15.205,147.4,14.692,145.23,16,141.74,14.838,139.35,13.712,137.17,10.702,135.88,11.5,131.49,11.813,127.22,12.307,122.71
20.004,154.2,15.25,147.39,14.712,145.22,16.017,141.73,14.902,139.33,13.828,137.13,10.724,135.86,11.5,131.49,11.884,127.18,12.354,122.71
20.039,154.18,15.302,147.38,14.8,145.2,16.1,141.69,14.913,139.33,14,137.06,10.8,135.79,11.515,131.48,11.905,127.17,12.402,122.7
20.094,154.15,15.33,147.38,14.81,145.2,16.119,141.68,14.926,139.33,14.015,137.05,10.81,135.79,11.6,131.46,11.946,127.15,12.423,122.69
20.102,154.15,15.4,147.39,14.885,145.15,16.201,141.63,14.938,139.33,14.098,137.04,10.864,135.76,11.61,131.45,12,127.14,12.5,122.63
20.128,154.13,15.418,147.39,14.911,145.14,16.233,141.61,14.951,139.33,14.105,137.04,10.909,135.75,11.7,131.42,12.017,127.14,12.51,122.62
20.199,154.08,15.5,147.38,14.995,145.1,16.301,141.58,14.963,139.33,14.148,137.01,10.973,135.73,11.704,131.41,12.1,127.12,12.594,122.53
20.203,154.08,15.518,147.37,15,145.09,16.325,141.58,14.976,139.34,14.299,136.91,11,135.72,11.74,131.38,12.11,127.12,12.604,122.52
20.225,154.07,15.6,147.34,15.014,145.09,16.4,141.58,14.989,139.34,14.309,136.91,11.101,135.69,11.8,131.33,12.185,127.09,12.644,122.5
20.294,154.06,15.614,147.34,15.099,145.08,16.413,141.57,15,139.34,14.385,136.89,11.111,135.68,11.806,131.33,12.309,127.03,12.702,122.47
20.304,154.06,15.708,147.28,15.104,145.08,16.489,141.52,15.027,139.34,14.417,136.88,11.168,135.62,11.85,131.32,12.347,127.02,12.735,122.44
20.333,154.07,15.902,147.17,15.146,145.05,16.5,141.51,15.1,139.34,14.5,136.87,11.202,135.58,11.901,131.32,12.4,127.01,12.801,122.39
20.4,154.09,15.925,147.17,15.201,145.02,16.52,141.51,15.109,139.33,14.516,136.86,11.235,135.55,11.921,131.32,12.409,127,12.815,122.39
20.403,154.09,16,147.17,15.221,145.02,16.6,141.48,15.171,139.3,14.596,136.82,11.3,135.5,12,131.35,12.452,126.96,12.895,122.38
20.424,154.08,16.034,147.16,15.334,145,16.613,141.48,15.202,139.29,14.615,136.81,11.311,135.5,12.005,131.34,12.5,126.92,12.908,122.37
20.497,154.05,16.101,147.16,15.402,145,16.696,141.49,15.231,139.28,14.7,136.78,11.37,135.5,12.042,131.33,12.54,126.89,12.963,122.34
20.502,154.05,16.118,147.14,15.433,144.98,16.705,141.49,15.301,139.27,14.723,136.77,11.403,135.5,12.106,131.3,12.606,126.84,13,122.32
20.517,154.03,16.2,147.08,15.5,144.94,16.746,141.47,15.323,139.27,14.801,136.73,11.433,135.48,12.168,131.26,12.661,126.79,13.021,122.3
20.541,154.01,16.209,147.08,15.538,144.92,16.801,141.45,15.4,139.24,14.825,136.71,11.5,135.45,12.206,131.24,12.702,126.74,13.101,122.24
20.577,153.98,16.271,147.08,15.603,144.89,16.834,141.44,15.416,139.23,14.901,136.65,11.513,135.44,12.26,131.2,12.736,126.72,13.126,122.23
20.601,153.96,16.4,147.08,15.635,144.88,17,141.35,15.5,139.17,14.92,136.64,11.613,135.41,12.305,131.16,12.801,126.67,13.3,122.12
20.611,153.96,16.414,147.08,15.701,144.86,17,141.35,15.522,139.16,14.987,136.6,11.706,135.39,12.365,131.1,12.812,126.67,13.309,122.12
20.652,153.96,16.5,147.04,15.749,144.85,17.022,141.34,15.687,139.03,15,136.59,11.75,135.36,12.403,131.06,12.876,126.67,13.383,122.1
20.7,153.97,16.701,146.94,15.801,144.83,17.101,141.29,15.705,139.02,15.022,136.59,11.808,135.33,12.431,131.04,12.901,126.67,13.412,122.09
20.713,153.97,16.723,146.94,15.821,144.81,17.121,141.29,15.74,139.02,15.102,136.57,11.876,135.28,12.5,131.01,12.921,126.65,13.5,122.05
20.797,153.97,16.805,146.92,15.9,144.73,17.257,141.25,15.807,139.03,15.142,136.56,11.915,135.26,12.52,131,13,126.59,13.5,122.05
20.803,153.97,16.856,146.9,15.905,144.73,17.313,141.24,15.87,139.03,15.202,136.55,12,135.21,12.6,130.96,13.04,126.56,13.701,121.96
20.831,153.96,17,146.85,15.947,144.71,17.399,141.19,15.907,139.03,15.237,136.54,12.101,135.16,12.611,130.97,13.102,126.51,13.717,121.95
20.9,153.94,17.017,146.85,16,144.7,17.417,141.19,15.956,139,15.301,136.51,12.123,135.15,12.678,130.97,13.133,126.5,13.799,121.87
20.909,153.94,17.1,146.84,16.013,144.7,17.5,141.18,16,138.98,15.319,136.5,12.201,135.14,12.705,130.98,13.2,126.47,13.807,121.87
20.967,153.94,17.107,146.83,16.096,144.71,17.5,141.18,16.115,138.92,15.4,136.42,12.22,135.14,12.735,130.96,13.217,126.46,13.841,121.86
21,153.94,17.161,146.79,16.122,144.7,17.51,141.18,16.199,138.89,15.414,136.41,12.301,135.1,12.8,130.94,13.3,126.4,13.902,121.84
21.1,153.94,17.202,146.75,16.201,144.69,17.579,141.13,16.233,138.88,15.499,136.36,12.32,135.1,12.804,130.93,13.316,126.39,13.931,121.82
21.106,153.93,17.236,146.75,16.23,144.68,17.606,141.12,16.305,138.86,15.5,136.36,12.4,135.09,12.831,130.89,13.4,126.35,14,121.77
21.134,153.9,17.305,146.73,16.302,144.66,17.656,141.11,16.354,138.84,15.513,136.36,12.414,135.08,12.9,130.79,13.405,126.35,14.034,121.74
21.2,153.84,17.354,146.73,16.337,144.65,17.801,141.09,16.406,138.81,15.584,136.35,12.497,135.04,12.91,130.79,13.449,126.35,14.101,121.68
21.205,153.84,17.403,146.73,16.404,144.63,17.823,141.08,16.472,138.8,15.619,136.34,12.5,135.03,12.971,130.73,13.5,126.35,14.113,121.68
21.235,153.83,17.446,146.72,16.47,144.63,17.9,141.05,16.5,138.79,15.701,136.34,12.508,135.03,13,130.71,13.513,126.35,14.196,121.65
21.3,153.83,17.5,146.71,16.5,144.62,17.908,141.05,16.613,138.76,15.722,136.33,12.562,134.96,13.008,130.71,13.58,126.3,14.212,121.64
21.307,153.83,17.515,146.7,16.602,144.61,17.951,141.05,16.7,138.73,15.8,136.29,12.601,134.91,13.062,130.69,13.602,126.28,14.29,121.6
21.33,153.83,17.6,146.66,16.638,144.59,18,141.06,16.713,138.73,15.822,136.28,12.622,134.9,13.115,130.68,13.627,126.25,14.304,121.59
21.37,153.84,17.607,146.66,16.706,144.56,18.03,141.06,16.799,138.71,15.9,136.25,12.7,134.86,13.199,130.67,13.7,126.15,14.345,121.59
21.4,153.85,17.661,146.66,16.779,144.53,18.104,141.06,16.807,138.71,15.92,136.25,12.716,134.85,13.224,130.66,13.706,126.15,14.475,121.57
21.408,153.85,17.708,146.66,16.807,144.53,18.153,141.04,16.862,138.68,16,136.24,12.855,134.81,13.298,130.64,13.748,126.13,14.5,121.56
21.461,153.83,17.755,146.65,16.867,144.53,18.202,141.03,16.909,138.66,16,136.24,12.906,134.8,13.316,130.63,13.801,126.1,14.507,121.56
21.502,153.83,17.801,146.64,16.901,144.54,18.243,141.03,16.993,138.63,16.025,136.23,12.957,134.8,13.4,130.6,13.821,126.09,14.554,121.52
21.523,153.83,17.827,146.62,16.924,144.52,18.304,141.03,17,138.63,16.1,136.21,13,134.8,13.413,130.59,13.898,126.08,14.701,121.39
21.6,153.85,17.9,146.57,16.999,144.48,18.353,141.01,17.037,138.61,16.113,136.2,13.013,134.8,13.496,130.52,13.905,126.08,14.721,121.37
21.609,153.84,17.908,146.57,17,144.48,18.402,140.99,17.2,138.52,16.187,136.13,13.084,134.76,13.5,130.51,13.947,126.05,14.802,121.33
21.661,153.82,17.967,146.55,17.009,144.47,18.45,140.97,17.219,138.52,16.207,136.12,13.106,134.74,13.52,130.49,14,126.02,14.835,121.3
21.701,153.8,18,146.54,17.072,144.38,18.5,140.95,17.299,138.51,16.276,136.07,13.152,134.68,13.6,130.4,14.019,126.02,14.902,121.25
21.726,153.79,18.102,146.52,17.101,144.35,18.531,140.94,17.31,138.51,16.303,136.06,13.201,134.63,13.61,130.4,14.103,125.99,14.936,121.24
21.801,153.74,18.134,146.53,17.124,144.34,18.601,140.91,17.38,138.47,16.336,136.05,13.216,134.62,13.666,130.37,14.146,125.97,15,121.21
21.811,153.74,18.205,146.54,17.2,144.3,18.64,140.9,17.406,138.46,16.402,136.03,13.264,134.59,13.702,130.36,14.201,125.95,15.016,121.2
21.878,153.73,18.271,146.55,17.207,144.3,18.708,140.88,17.454,138.42,16.447,136.02,13.301,134.57,13.739,130.36,14.224,125.93,15.1,121.14
21.903,153.73,18.302,146.55,17.252,144.32,18.78,140.86,17.5,138.39,16.5,136.02,13.328,134.57,13.809,130.34,14.3,125.87,15.116,121.12
21.938,153.74,18.326,146.53,17.301,144.33,18.813,140.84,17.508,138.38,16.601,136,13.401,134.56,13.89,130.32,14.309,125.86,15.2,121.04
22,153.76,18.401,146.47,17.32,144.33,18.9,140.8,17.562,138.38,16.626,135.99,13.427,134.56,13.906,130.32,14.364,125.84,15.212,121.03
22.011,153.76,18.415,146.47,17.4,144.32,18.915,140.8,17.604,138.37,16.705,135.95,13.5,134.56,13.95,130.29,14.5,125.78,15.275,121.01
22.047,153.75,18.469,146.44,17.412,144.32,19,140.77,17.644,138.35,16.757,135.93,13.514,134.55,14,130.26,14.514,125.77,15.306,121.01
22.101,153.75,18.5,146.43,17.497,144.29,19.038,140.76,17.708,138.32,16.815,135.91,13.59,134.51,14.106,130.2,14.601,125.71,15.351,121.01
22.111,153.74,18.508,146.43,17.5,144.29,19.103,140.74,17.779,138.29,16.9,135.89,13.618,134.49,14.178,130.17,14.705,125.63,15.403,121.02
22.176,153.7,18.569,146.43,17.537,144.27,19.161,140.72,17.808,138.28,16.909,135.88,13.779,134.38,14.211,130.16,14.743,125.62,15.425,121.01
22.204,153.68,18.609,146.42,17.602,144.24,19.205,140.71,17.859,138.28,16.975,135.84,13.902,134.3,14.321,130.1,14.801,125.59,15.499,120.98
22.238,153.68,18.679,146.4,17.646,144.23,19.25,140.69,17.903,138.28,17,135.82,13.928,134.29,14.412,130.05,14.829,125.57,15.5,120.98
22.302,153.67,18.709,146.39,17.707,144.21,19.312,140.66,17.942,138.27,17.012,135.82,14,134.26,14.46,130.01,14.9,125.52,15.505,120.97
22.344,153.67,18.792,146.34,17.783,144.19,19.398,140.6,18,138.25,17.058,135.81,14.036,134.25,14.5,129.98,14.916,125.51,15.539,120.93
22.401,153.67,18.902,146.27,17.812,144.17,19.41,140.6,18.104,138.21,17.202,135.79,14.296,134.18,14.6,129.91,15,125.48,15.601,120.85
22.428,153.67,18.932,146.27,17.888,144.13,19.483,140.59,18.157,138.19,17.224,135.79,14.311,134.17,14.609,129.91,15,125.48,15.617,120.83
22.502,153.65,18.999,146.27,17.906,144.12,19.5,140.59,18.301,138.16,17.393,135.72,14.396,134.13,14.658,129.91,15.007,125.48,15.698,120.77
22.537,153.64,19,146.27,17.956,144.12,19.538,140.59,18.336,138.15,17.411,135.71,14.413,134.11,14.701,129.9,15.063,125.48,15.705,120.77
22.7,153.58,19.08,146.27,18,144.12,19.601,140.59,18.401,138.15,17.495,135.65,14.488,134.04,14.721,129.88,15.103,125.48,15.747,120.76
