,"690 K",,"728 K",,"759 K",,"854 K",,"866 K",,"899 K"
8.50000000,48.94700000,8.50000000,214.06000000,8.50000000,59.62400000,10.50000000,47.75800000,10.50000000,?,9.50000000,50.74100000
8.60000000,48.94300000,8.60000000,212.42000000,8.60000000,58.46300000,10.60000000,47.09000000,10.60000000,?,9.60000000,50.14400000
8.70000000,48.93000000,8.70000000,206.41000000,8.70000000,57.51500000,10.70000000,46.51700000,10.70000000,?,9.70000000,49.75000000
8.80000000,48.93800000,8.80000000,203.64000000,8.80000000,56.74500000,10.80000000,45.94600000,10.80000000,?,9.80000000,49.48900000
8.90000000,48.93600000,8.90000000,204.77000000,8.90000000,55.81900000,10.90000000,45.44800000,10.90000000,?,9.90000000,49.16600000
9.00000000,48.92500000,9.00000000,202.10000000,9.00000000,54.77800000,11.00000000,44.97100000,11.00000000,?,10.00000000,48.75600000
9.10000000,48.92200000,9.10000000,198.30000000,9.10000000,53.90800000,11.10000000,44.40200000,11.10000000,?,10.10000000,48.31900000
9.20000000,48.91400000,9.20000000,195.93000000,9.20000000,53.23200000,11.20000000,43.84800000,11.20000000,?,10.20000000,47.91400000
9.30000000,48.90900000,9.30000000,191.77000000,9.30000000,52.43900000,11.30000000,43.41100000,11.30000000,?,10.30000000,47.59200000
9.40000000,48.89800000,9.40000000,188.75000000,9.40000000,51.50900000,11.40000000,42.96700000,11.40000000,?,10.40000000,47.30300000
9.50000000,48.88800000,9.50000000,187.91000000,9.50000000,50.59800000,11.50000000,42.46500000,11.50000000,?,10.50000000,46.98300000
9.60000000,48.88300000,9.60000000,185.50000000,9.60000000,49.80000000,11.60000000,41.98000000,11.60000000,?,10.60000000,46.67800000
9.70000000,48.88300000,9.70000000,182.09000000,9.70000000,49.17700000,11.70000000,41.54300000,11.70000000,?,10.70000000,46.44300000
9.80000000,48.88700000,9.80000000,178.90000000,9.80000000,48.57400000,11.80000000,41.20300000,11.80000000,?,10.80000000,46.18600000
9.90000000,48.89000000,9.90000000,176.96000000,9.90000000,47.81800000,11.90000000,40.91100000,11.90000000,?,10.90000000,45.83200000
10.00000000,48.88800000,10.00000000,174.27000000,10.00000000,47.06000000,12.00000000,40.50100000,12.00000000,?,11.00000000,45.50700000
10.10000000,48.88300000,10.10000000,171.44000000,10.10000000,46.51300000,12.10000000,40.03200000,12.10000000,?,11.10000000,45.29200000
10.20000000,48.87600000,10.20000000,169.11000000,10.20000000,45.95900000,12.20000000,39.66500000,12.20000000,?,11.20000000,45.13400000
10.30000000,48.86100000,10.30000000,166.64000000,10.30000000,45.27500000,12.30000000,39.39700000,12.30000000,?,11.30000000,44.96300000
10.40000000,48.85500000,10.40000000,164.34000000,10.40000000,44.57900000,12.40000000,39.10700000,12.40000000,?,11.40000000,44.72400000
10.50000000,48.85000000,10.50000000,162.19000000,10.50000000,43.89200000,12.50000000,38.76200000,12.50000000,?,11.50000000,44.42700000
10.60000000,48.84700000,10.60000000,160.01000000,10.60000000,43.35700000,12.60000000,38.42900000,12.60000000,?,11.60000000,44.18900000
10.70000000,48.84700000,10.70000000,157.22000000,10.70000000,42.97700000,12.70000000,38.10400000,12.70000000,?,11.70000000,44.07000000
10.80000000,48.84500000,10.80000000,154.72000000,10.80000000,42.49300000,12.80000000,37.84300000,12.80000000,?,11.80000000,43.95500000
10.90000000,48.84000000,10.90000000,152.88000000,10.90000000,41.87700000,12.90000000,37.61100000,12.90000000,?,11.90000000,43.73900000
11.00000000,48.82900000,11.00000000,150.79000000,11.00000000,41.30400000,13.00000000,37.29800000,13.00000000,?,12.00000000,43.53200000
11.10000000,48.81800000,11.10000000,148.41000000,11.10000000,40.85100000,13.10000000,37.00800000,13.10000000,?,12.10000000,43.36800000
11.20000000,48.80500000,11.20000000,146.18000000,11.20000000,40.42200000,13.20000000,36.80300000,13.20000000,?,12.20000000,43.22900000
11.30000000,48.79900000,11.30000000,144.04000000,11.30000000,39.94000000,13.30000000,36.59900000,13.30000000,?,12.30000000,43.10800000
11.40000000,48.78100000,11.40000000,142.14000000,11.40000000,39.49500000,13.40000000,36.31200000,13.40000000,?,12.40000000,42.96600000
11.50000000,48.77500000,11.50000000,140.36000000,11.50000000,39.11200000,13.50000000,36.01700000,13.50000000,?,12.50000000,42.82700000
11.60000000,48.79300000,11.60000000,138.14000000,11.60000000,38.73600000,13.60000000,35.80500000,13.60000000,?,12.60000000,42.72600000
11.70000000,48.78600000,11.70000000,136.12000000,11.70000000,38.31500000,13.70000000,35.64700000,13.70000000,?,12.70000000,42.63900000
11.80000000,48.77800000,11.80000000,134.62000000,11.80000000,37.82000000,13.80000000,35.48400000,13.80000000,?,12.80000000,42.49300000
11.90000000,48.76700000,11.90000000,133.23000000,11.90000000,37.36100000,13.90000000,35.24800000,13.90000000,?,12.90000000,42.32800000
12.00000000,48.75600000,12.00000000,131.31000000,12.00000000,37.02200000,14.00000000,34.96900000,14.00000000,?,13.00000000,42.26200000
12.10000000,48.75300000,12.10000000,129.38000000,12.10000000,36.77800000,14.10000000,34.79800000,14.10000000,?,13.10000000,42.27800000
12.20000000,48.74600000,12.20000000,127.87000000,12.20000000,36.44500000,14.20000000,34.70100000,14.20000000,?,13.20000000,42.22100000
12.30000000,48.75300000,12.30000000,126.47000000,12.30000000,35.97100000,14.30000000,34.51100000,14.30000000,?,13.30000000,42.08500000
12.40000000,48.75400000,12.40000000,125.14000000,12.40000000,35.53200000,14.40000000,34.28300000,14.40000000,?,13.40000000,41.95100000
12.50000000,48.74200000,12.50000000,123.53000000,12.50000000,35.20200000,14.50000000,34.13000000,14.50000000,?,13.50000000,41.89500000
12.60000000,48.71900000,12.60000000,121.81000000,12.60000000,34.94200000,14.60000000,34.01000000,14.60000000,?,13.60000000,41.91300000
12.70000000,48.71000000,12.70000000,120.47000000,12.70000000,34.68200000,14.70000000,33.86000000,14.70000000,?,13.70000000,41.89400000
12.80000000,48.70000000,12.80000000,119.50000000,12.80000000,34.36100000,14.80000000,33.71200000,14.80000000,?,13.80000000,41.78400000
12.90000000,48.68900000,12.90000000,118.20000000,12.90000000,34.01500000,14.90000000,33.56800000,14.90000000,?,13.90000000,41.65900000
13.00000000,48.70800000,13.00000000,116.62000000,13.00000000,33.71100000,15.00000000,33.42100000,15.00000000,?,14.00000000,41.63200000
13.10000000,48.71100000,13.10000000,115.31000000,13.10000000,33.45700000,15.10000000,33.31300000,15.10000000,?,14.10000000,41.67300000
13.20000000,48.68600000,13.20000000,114.21000000,13.20000000,33.20200000,15.20000000,33.23800000,15.20000000,?,14.20000000,41.68000000
13.30000000,48.67500000,13.30000000,113.07000000,13.30000000,32.93000000,15.30000000,33.09300000,15.30000000,?,14.30000000,41.64600000
13.40000000,48.66700000,13.40000000,111.96000000,13.40000000,32.67700000,15.40000000,32.89800000,15.40000000,?,14.40000000,41.58100000
13.50000000,48.64400000,13.50000000,110.80000000,13.50000000,32.39600000,15.50000000,32.79800000,15.50000000,?,14.50000000,41.52200000
13.60000000,48.63500000,13.60000000,109.52000000,13.60000000,32.10400000,15.60000000,32.75500000,15.60000000,?,14.60000000,41.51600000
13.70000000,48.62500000,13.70000000,108.70000000,13.70000000,31.86200000,15.70000000,32.65100000,15.70000000,?,14.70000000,41.52800000
13.80000000,48.62200000,13.80000000,107.93000000,13.80000000,31.63400000,15.80000000,32.52600000,15.80000000,?,14.80000000,41.53600000
13.90000000,48.62000000,13.90000000,106.79000000,13.90000000,31.43300000,15.90000000,32.43200000,15.90000000,?,14.90000000,41.53900000
14.00000000,48.60100000,14.00000000,105.73000000,14.00000000,31.23000000,16.00000000,32.32700000,16.00000000,?,15.00000000,41.54100000
14.10000000,48.57900000,14.10000000,104.71000000,14.10000000,30.97000000,16.10000000,32.23900000,16.10000000,?,15.10000000,41.50900000
14.20000000,48.55800000,14.20000000,103.85000000,14.20000000,30.69900000,16.20000000,32.17400000,16.20000000,?,15.20000000,41.50400000
14.30000000,48.56400000,14.30000000,103.07000000,14.30000000,30.49600000,16.30000000,32.07300000,16.30000000,?,15.30000000,41.54300000
14.40000000,48.57900000,14.40000000,102.13000000,14.40000000,30.37200000,16.40000000,31.99200000,16.40000000,?,15.40000000,41.56000000
14.50000000,48.56800000,14.50000000,101.34000000,14.50000000,30.21500000,16.50000000,31.96500000,16.50000000,?,15.50000000,41.57100000
14.60000000,48.53300000,14.60000000,100.60000000,14.60000000,29.99800000,16.60000000,31.90600000,16.60000000,?,15.60000000,41.57100000
14.70000000,48.52000000,14.70000000,99.96900000,14.70000000,29.74200000,16.70000000,31.79400000,16.70000000,?,15.70000000,41.59100000
14.80000000,48.54400000,14.80000000,99.33800000,14.80000000,29.52600000,16.80000000,31.70000000,16.80000000,?,15.80000000,41.63200000
14.90000000,48.54200000,14.90000000,98.36900000,14.90000000,29.43400000,16.90000000,31.64100000,16.90000000,?,15.90000000,41.67500000
15.00000000,48.52100000,15.00000000,97.48400000,15.00000000,29.33200000,17.00000000,31.60000000,17.00000000,?,16.00000000,41.71200000
15.10000000,48.50500000,15.10000000,96.78000000,15.10000000,29.10300000,17.10000000,31.59600000,17.10000000,?,16.10000000,41.72000000
15.20000000,48.50400000,15.20000000,96.28100000,15.20000000,28.85300000,17.20000000,31.57100000,17.20000000,?,16.20000000,41.71700000
15.30000000,48.51300000,15.30000000,95.69900000,15.30000000,28.68700000,17.30000000,31.47700000,17.30000000,?,16.30000000,41.76000000
15.40000000,48.48800000,15.40000000,95.07700000,15.40000000,28.61800000,17.40000000,31.42600000,17.40000000,?,16.40000000,41.84600000
15.50000000,48.46400000,15.50000000,94.39500000,15.50000000,28.53400000,17.50000000,31.43700000,17.50000000,?,16.50000000,41.91600000
15.60000000,48.47500000,15.60000000,93.69500000,15.60000000,28.31500000,17.60000000,31.41500000,17.60000000,?,16.60000000,41.94500000
15.70000000,48.47700000,15.70000000,93.10800000,15.70000000,28.07600000,17.70000000,31.37500000,17.70000000,?,16.70000000,41.95100000
15.80000000,48.46900000,15.80000000,92.52300000,15.80000000,27.93700000,17.80000000,31.33600000,17.80000000,?,16.80000000,42.00700000
15.90000000,48.45400000,15.90000000,91.94700000,15.90000000,27.89700000,17.90000000,31.30400000,17.90000000,?,16.90000000,42.12200000
16.00000000,48.43500000,16.00000000,91.47100000,16.00000000,27.82100000,18.00000000,31.29800000,18.00000000,?,17.00000000,42.20000000
16.10000000,48.43400000,16.10000000,91.05800000,16.10000000,27.61500000,18.10000000,31.30600000,18.10000000,?,17.10000000,42.21700000
16.20000000,48.44000000,16.20000000,90.51300000,16.20000000,27.42500000,18.20000000,31.28900000,18.20000000,?,17.20000000,42.24100000
16.30000000,48.42600000,16.30000000,89.89000000,16.30000000,27.34200000,18.30000000,31.26300000,18.30000000,?,17.30000000,42.32800000
16.40000000,48.39900000,16.40000000,89.32100000,16.40000000,27.31700000,18.40000000,31.30100000,18.40000000,?,17.40000000,42.45200000
16.50000000,48.40000000,16.50000000,88.86900000,16.50000000,27.22300000,18.50000000,31.32200000,18.50000000,?,17.50000000,42.54800000
16.60000000,48.40700000,16.60000000,88.53800000,16.60000000,27.02800000,18.60000000,31.30400000,18.60000000,?,17.60000000,42.61000000
16.70000000,48.40700000,16.70000000,88.16000000,16.70000000,26.86800000,18.70000000,31.30900000,18.70000000,?,17.70000000,42.67400000
16.80000000,48.40300000,16.80000000,87.60400000,16.80000000,26.80600000,18.80000000,31.30800000,18.80000000,?,17.80000000,42.77600000
16.90000000,48.39400000,16.90000000,87.02000000,16.90000000,26.78200000,18.90000000,31.32800000,18.90000000,?,17.90000000,42.90300000
17.00000000,48.39100000,17.00000000,86.60900000,17.00000000,26.69800000,19.00000000,31.39100000,19.00000000,?,18.00000000,43.02100000
17.10000000,48.39200000,17.10000000,86.30100000,17.10000000,26.53300000,19.10000000,31.41100000,19.10000000,?,18.10000000,43.11900000
17.20000000,48.38100000,17.20000000,85.93700000,17.20000000,26.39900000,19.20000000,31.39900000,19.20000000,?,18.20000000,43.20800000
17.30000000,48.36200000,17.30000000,85.52900000,17.30000000,26.36400000,19.30000000,31.43100000,19.30000000,?,18.30000000,43.32800000
17.40000000,48.37600000,17.40000000,85.02800000,17.40000000,26.34400000,19.40000000,31.47400000,19.40000000,?,18.40000000,43.45100000
17.50000000,48.38900000,17.50000000,84.60500000,17.50000000,26.24300000,19.50000000,31.49900000,19.50000000,?,18.50000000,43.55900000
17.60000000,48.38400000,17.60000000,84.28100000,17.60000000,26.11100000,19.60000000,31.54900000,19.60000000,?,18.60000000,43.69300000
17.70000000,48.36000000,17.70000000,84.01800000,17.70000000,26.04500000,19.70000000,31.61100000,19.70000000,?,18.70000000,43.82200000
17.80000000,48.34600000,17.80000000,83.65900000,17.80000000,26.03700000,19.80000000,31.64900000,19.80000000,?,18.80000000,43.94700000
17.90000000,48.35400000,17.90000000,83.22200000,17.90000000,26.02800000,19.90000000,31.69700000,19.90000000,?,18.90000000,44.08900000
18.00000000,48.34700000,18.00000000,82.85800000,18.00000000,25.96100000,20.00000000,31.75000000,20.00000000,?,19.00000000,44.22300000
18.10000000,48.33800000,18.10000000,82.54400000,18.10000000,25.83500000,20.10000000,31.78500000,20.10000000,?,19.10000000,44.36800000
18.20000000,48.32500000,18.20000000,82.24400000,18.20000000,25.77200000,20.20000000,31.84700000,20.20000000,?,19.20000000,44.54300000
18.30000000,48.33800000,18.30000000,81.94600000,18.30000000,25.78500000,20.30000000,31.95400000,20.30000000,?,19.30000000,44.70900000
18.40000000,48.34400000,18.40000000,81.62400000,18.40000000,25.77100000,20.40000000,32.04500000,20.40000000,?,19.40000000,44.83500000
18.50000000,48.33000000,18.50000000,81.26000000,18.50000000,25.70200000,20.50000000,32.08500000,20.50000000,?,19.50000000,44.96600000
18.60000000,48.32000000,18.60000000,80.95000000,18.60000000,25.61900000,20.60000000,32.13900000,20.60000000,?,19.60000000,45.13200000
18.70000000,48.31900000,18.70000000,80.73500000,18.70000000,25.59400000,20.70000000,32.21900000,20.70000000,?,19.70000000,45.31400000
18.80000000,48.32200000,18.80000000,80.51200000,18.80000000,25.60800000,20.80000000,32.31600000,20.80000000,?,19.80000000,45.49700000
18.90000000,48.31400000,18.90000000,80.21300000,18.90000000,25.57900000,20.90000000,32.42100000,20.90000000,?,19.90000000,45.66300000
19.00000000,48.30800000,19.00000000,79.90100000,19.00000000,25.49700000,21.00000000,32.51000000,21.00000000,?,20.00000000,45.81600000
19.10000000,48.30400000,19.10000000,79.62000000,19.10000000,25.42800000,21.10000000,32.58100000,21.10000000,?,20.10000000,46.00800000
19.20000000,48.30100000,19.20000000,79.35200000,19.20000000,25.46600000,21.20000000,32.66500000,21.20000000,?,20.20000000,46.24100000
19.30000000,48.30300000,19.30000000,79.15600000,19.30000000,25.51200000,21.30000000,32.78500000,21.30000000,?,20.30000000,46.46900000
19.40000000,48.30400000,19.40000000,78.94400000,19.40000000,25.45700000,21.40000000,32.88500000,21.40000000,?,20.40000000,46.65900000
19.50000000,48.29300000,19.50000000,78.64200000,19.50000000,25.38800000,21.50000000,32.98900000,21.50000000,?,20.50000000,46.83700000
19.60000000,48.29200000,19.60000000,78.37600000,19.60000000,25.36300000,21.60000000,33.11500000,21.60000000,?,20.60000000,47.04300000
19.70000000,48.29000000,19.70000000,78.20800000,19.70000000,25.38600000,21.70000000,33.22700000,21.70000000,?,20.70000000,47.27300000
19.80000000,48.28500000,19.80000000,78.03800000,19.80000000,25.41400000,21.80000000,33.32900000,21.80000000,?,20.80000000,47.51100000
19.90000000,48.29200000,19.90000000,77.75700000,19.90000000,25.36900000,21.90000000,33.44100000,21.90000000,?,20.90000000,47.72400000
20.00000000,48.29300000,20.00000000,77.46500000,20.00000000,25.32400000,22.00000000,33.57100000,22.00000000,?,21.00000000,47.95100000
20.10000000,48.29300000,20.10000000,77.27500000,20.10000000,25.35100000,22.10000000,33.70100000,22.10000000,?,21.10000000,48.19800000
20.20000000,48.28200000,20.20000000,77.16500000,20.20000000,25.39800000,22.20000000,33.83900000,22.20000000,?,21.20000000,48.43400000
20.30000000,48.26800000,20.30000000,77.01500000,20.30000000,25.40100000,22.30000000,34.00400000,22.30000000,?,21.30000000,48.66400000
20.40000000,48.27300000,20.40000000,76.72800000,20.40000000,25.35900000,22.40000000,34.15000000,22.40000000,?,21.40000000,48.89700000
20.50000000,48.27100000,20.50000000,76.46600000,20.50000000,25.34500000,22.50000000,34.28400000,22.50000000,?,21.50000000,49.15000000
20.60000000,48.27400000,20.60000000,76.35900000,20.60000000,25.39400000,22.60000000,34.43600000,22.60000000,?,21.60000000,49.41700000
20.70000000,48.27900000,20.70000000,76.23200000,20.70000000,25.45000000,22.70000000,34.64200000,22.70000000,?,21.70000000,49.69400000
20.80000000,48.27100000,20.80000000,76.02600000,20.80000000,25.43600000,22.80000000,34.79500000,22.80000000,?,21.80000000,49.95900000
20.90000000,48.27300000,20.90000000,75.84600000,20.90000000,25.39000000,22.90000000,34.91300000,22.90000000,?,21.90000000,50.19700000
21.00000000,48.28000000,21.00000000,75.68300000,21.00000000,25.40700000,23.00000000,35.08500000,23.00000000,?,22.00000000,50.47100000
21.10000000,48.29200000,21.10000000,75.57000000,21.10000000,25.47700000,23.10000000,35.26400000,23.10000000,?,22.10000000,50.77900000
21.20000000,48.29200000,21.20000000,75.48800000,21.20000000,25.50400000,23.20000000,35.45400000,23.20000000,?,22.20000000,51.08600000
21.30000000,48.27400000,21.30000000,75.27100000,21.30000000,25.48500000,23.30000000,35.61500000,23.30000000,?,22.30000000,51.35500000
21.40000000,48.27900000,21.40000000,75.05300000,21.40000000,25.48700000,23.40000000,35.77300000,23.40000000,?,22.40000000,51.60600000
21.50000000,48.29000000,21.50000000,75.00200000,21.50000000,25.54000000,23.50000000,35.98200000,23.50000000,?,22.50000000,51.90900000
21.60000000,48.27700000,21.60000000,74.99500000,21.60000000,25.60800000,23.60000000,36.22100000,23.60000000,?,22.60000000,52.25300000
21.70000000,48.26800000,21.70000000,74.82100000,21.70000000,25.62400000,23.70000000,36.44100000,23.70000000,?,22.70000000,52.56900000
21.80000000,48.28000000,21.80000000,74.52000000,21.80000000,25.59900000,23.80000000,36.63300000,23.80000000,?,22.80000000,52.86100000
21.90000000,48.29800000,21.90000000,74.43200000,21.90000000,25.61900000,23.90000000,36.81800000,23.90000000,?,22.90000000,53.14300000
22.00000000,48.30000000,22.00000000,74.45800000,22.00000000,25.70500000,24.00000000,37.01400000,24.00000000,?,23.00000000,53.42700000
22.10000000,48.30600000,22.10000000,74.35100000,22.10000000,25.77700000,24.10000000,37.22500000,24.10000000,?,23.10000000,53.75100000
22.20000000,48.31100000,22.20000000,74.16100000,22.20000000,25.78000000,24.20000000,37.43800000,24.20000000,?,23.20000000,54.07000000
22.30000000,48.30900000,22.30000000,73.98900000,22.30000000,25.77100000,24.30000000,37.65200000,24.30000000,?,23.30000000,54.36700000
22.40000000,48.30400000,22.40000000,73.95800000,22.40000000,25.83600000,24.40000000,37.88000000,24.40000000,?,23.40000000,54.67800000
22.50000000,48.31200000,22.50000000,73.95500000,22.50000000,25.94200000,24.50000000,38.12900000,24.50000000,?,23.50000000,55.01200000
22.60000000,48.32200000,22.60000000,73.80400000,22.60000000,25.97500000,24.60000000,38.36800000,24.60000000,?,23.60000000,55.32900000
22.70000000,48.31600000,22.70000000,73.60100000,22.70000000,25.96900000,24.70000000,38.59000000,24.70000000,?,23.70000000,55.61600000
22.80000000,48.32700000,22.80000000,73.57400000,22.80000000,26.00700000,24.80000000,38.80700000,24.80000000,?,23.80000000,55.89800000
22.90000000,48.34100000,22.90000000,73.64900000,22.90000000,26.08400000,24.90000000,39.04300000,24.90000000,?,23.90000000,56.23700000
23.00000000,48.36000000,23.00000000,73.54400000,23.00000000,26.16000000,25.00000000,39.30000000,25.00000000,?,24.00000000,56.59700000
23.10000000,48.35700000,23.10000000,73.32500000,23.10000000,26.19800000,25.10000000,39.54700000,25.10000000,?,24.10000000,56.91800000
23.20000000,48.35100000,23.20000000,73.24200000,23.20000000,26.21400000,25.20000000,39.79000000,25.20000000,?,24.20000000,57.21600000
23.30000000,48.36700000,23.30000000,73.30100000,23.30000000,26.27200000,25.30000000,40.02900000,25.30000000,?,24.30000000,57.50800000
23.40000000,48.35200000,23.40000000,73.32300000,23.40000000,26.37200000,25.40000000,40.28300000,25.40000000,?,24.40000000,57.82200000
23.50000000,48.35400000,23.50000000,73.15100000,23.50000000,26.46000000,25.50000000,40.56800000,25.50000000,?,24.50000000,58.15300000
23.60000000,48.39200000,23.60000000,72.96100000,23.60000000,26.50000000,25.60000000,40.84700000,25.60000000,?,24.60000000,58.48600000
23.70000000,48.40500000,23.70000000,72.99800000,23.70000000,26.53000000,25.70000000,41.10700000,25.70000000,?,24.70000000,58.79400000
23.80000000,48.39100000,23.80000000,73.08700000,23.80000000,26.62100000,25.80000000,41.36100000,25.80000000,?,24.80000000,59.09500000
23.90000000,48.38700000,23.90000000,72.99800000,23.90000000,26.73800000,25.90000000,41.65500000,25.90000000,?,24.90000000,59.41800000
24.00000000,48.40800000,24.00000000,72.84200000,24.00000000,26.81900000,26.00000000,41.96900000,26.00000000,?,25.00000000,59.72900000
24.10000000,48.43200000,24.10000000,72.79700000,24.10000000,26.85200000,26.10000000,42.24600000,26.10000000,?,25.10000000,60.01700000
24.20000000,48.44500000,24.20000000,72.86400000,24.20000000,26.88300000,26.20000000,42.50600000,26.20000000,?,25.20000000,60.30000000
24.30000000,48.44600000,24.30000000,72.86400000,24.30000000,26.99000000,26.30000000,42.79400000,26.30000000,?,25.30000000,60.60600000
24.40000000,48.44800000,24.40000000,72.72000000,24.40000000,27.11300000,26.40000000,43.11400000,26.40000000,?,25.40000000,60.94300000
24.50000000,48.47800000,24.50000000,72.68500000,24.50000000,27.18100000,26.50000000,43.44300000,26.50000000,?,25.50000000,61.26000000
24.60000000,48.51500000,24.60000000,72.78900000,24.60000000,27.24800000,26.60000000,43.75400000,26.60000000,?,25.60000000,61.51100000
24.70000000,48.53600000,24.70000000,72.75900000,24.70000000,27.34200000,26.70000000,44.04600000,26.70000000,?,25.70000000,61.76000000
24.80000000,48.55200000,24.80000000,72.60700000,24.80000000,27.46200000,26.80000000,44.36000000,26.80000000,?,25.80000000,62.06100000
24.90000000,48.56600000,24.90000000,72.57800000,24.90000000,27.56900000,26.90000000,44.67600000,26.90000000,?,25.90000000,62.36100000
25.00000000,48.58800000,25.00000000,72.65000000,25.00000000,27.64400000,27.00000000,44.98200000,27.00000000,?,26.00000000,62.62600000
25.10000000,48.62500000,25.10000000,72.66900000,25.10000000,27.70000000,27.10000000,45.30100000,27.10000000,?,26.10000000,62.86700000
25.20000000,48.65200000,25.20000000,72.60900000,25.20000000,27.80000000,27.20000000,45.61900000,27.20000000,?,26.20000000,63.12200000
25.30000000,48.67800000,25.30000000,72.52100000,25.30000000,27.93700000,27.30000000,45.94300000,27.30000000,?,26.30000000,63.42200000
25.40000000,48.73200000,25.40000000,72.55500000,25.40000000,28.03500000,27.40000000,46.28700000,27.40000000,?,26.40000000,63.69300000
25.50000000,48.80400000,25.50000000,72.65500000,25.50000000,28.12200000,27.50000000,46.63300000,27.50000000,?,26.50000000,63.90400000
25.60000000,48.87200000,25.60000000,72.57400000,25.60000000,28.22400000,27.60000000,46.96800000,27.60000000,?,26.60000000,64.11300000
25.70000000,48.96300000,25.70000000,72.46500000,25.70000000,28.32700000,27.70000000,47.27800000,27.70000000,?,26.70000000,64.33900000
25.80000000,49.06500000,25.80000000,72.53500000,25.80000000,28.45400000,27.80000000,47.58600000,27.80000000,?,26.80000000,64.59600000
25.90000000,49.19000000,25.90000000,72.60900000,25.90000000,28.57200000,27.90000000,47.94300000,27.90000000,?,26.90000000,64.86200000
26.00000000,49.35600000,26.00000000,72.55800000,26.00000000,28.65700000,28.00000000,48.30500000,28.00000000,?,27.00000000,65.05700000
26.10000000,49.59000000,26.10000000,72.47500000,26.10000000,28.75900000,28.10000000,48.63700000,28.10000000,?,27.10000000,65.23100000
26.20000000,49.91100000,26.20000000,72.52300000,26.20000000,28.90100000,28.20000000,48.98200000,28.20000000,?,27.20000000,65.44600000
26.30000000,50.30300000,26.30000000,72.63000000,26.30000000,29.05100000,28.30000000,49.34200000,28.30000000,?,27.30000000,65.64200000
26.40000000,50.82300000,26.40000000,72.59000000,26.40000000,29.17400000,28.40000000,49.67200000,28.40000000,?,27.40000000,65.81500000
26.50000000,51.49200000,26.50000000,72.49200000,26.50000000,29.27300000,28.50000000,50.02500000,28.50000000,?,27.50000000,65.96600000
26.60000000,52.35000000,26.60000000,72.53200000,26.60000000,29.37600000,28.60000000,50.37600000,28.60000000,?,27.60000000,66.12900000
26.70000000,53.50300000,26.70000000,72.65500000,26.70000000,29.52600000,28.70000000,50.68700000,28.70000000,?,27.70000000,66.32000000
26.80000000,55.02500000,26.80000000,72.65300000,26.80000000,29.69200000,28.80000000,51.04100000,28.80000000,?,27.80000000,66.49400000
26.90000000,57.03500000,26.90000000,72.53200000,26.90000000,29.82400000,28.90000000,51.43000000,28.90000000,?,27.90000000,66.63500000
27.00000000,59.89200000,27.00000000,72.52900000,27.00000000,29.93300000,29.00000000,51.78600000,29.00000000,?,28.00000000,66.74300000
27.10000000,64.43900000,27.10000000,72.65700000,27.10000000,30.05100000,29.10000000,52.11600000,29.10000000,?,28.10000000,66.85000000
27.20000000,72.99300000,27.20000000,72.71700000,27.20000000,30.18200000,29.20000000,52.46900000,29.20000000,?,28.20000000,66.97900000
27.30000000,97.44700000,27.30000000,72.62600000,27.30000000,30.33500000,29.30000000,52.82300000,29.30000000,?,28.30000000,67.09400000
27.40000000,186.33000000,27.40000000,72.56900000,27.40000000,30.49600000,29.40000000,53.18200000,29.40000000,?,28.40000000,67.17900000
27.50000000,195.53000000,27.50000000,72.69700000,27.50000000,30.63300000,29.50000000,53.52000000,29.50000000,?,28.50000000,67.27300000
27.60000000,169.50000000,27.60000000,72.76200000,27.60000000,30.76400000,29.60000000,53.82800000,29.60000000,?,28.60000000,67.36000000
27.70000000,198.81000000,27.70000000,72.68400000,27.70000000,30.91400000,29.70000000,54.17100000,29.70000000,?,28.70000000,67.43700000
27.80000000,197.40000000,27.80000000,72.67300000,27.80000000,31.08000000,29.80000000,54.53000000,29.80000000,?,28.80000000,67.51400000
27.90000000,193.47000000,27.90000000,72.75200000,27.90000000,31.22800000,29.90000000,54.86200000,29.90000000,?,28.90000000,67.55800000
28.00000000,182.36000000,28.00000000,72.83200000,28.00000000,31.36900000,30.00000000,55.18400000,30.00000000,?,29.00000000,67.59200000
28.10000000,179.69000000,28.10000000,72.80300000,28.10000000,31.54300000,30.10000000,55.51000000,30.10000000,?,29.10000000,67.62200000
28.20000000,178.00000000,28.20000000,72.74000000,28.20000000,31.74200000,30.20000000,55.83800000,30.20000000,?,29.20000000,67.66500000
28.30000000,173.05000000,28.30000000,72.82300000,28.30000000,31.91300000,30.30000000,56.17000000,30.30000000,?,29.30000000,67.69700000
28.40000000,169.86000000,28.40000000,72.93600000,28.40000000,32.05100000,30.40000000,56.47100000,30.40000000,?,29.40000000,67.69700000
28.50000000,166.74000000,28.50000000,72.89900000,28.50000000,32.19200000,30.50000000,56.75400000,30.50000000,?,29.50000000,67.69200000
28.60000000,162.45000000,28.60000000,72.83700000,28.60000000,32.36700000,30.60000000,57.07400000,30.60000000,?,29.60000000,67.69400000
28.70000000,161.92000000,28.70000000,72.93400000,28.70000000,32.57800000,30.70000000,57.40900000,30.70000000,?,29.70000000,67.69200000
28.80000000,161.13000000,28.80000000,73.05400000,28.80000000,32.78200000,30.80000000,57.71900000,30.80000000,?,29.80000000,67.66400000
28.90000000,159.04000000,28.90000000,73.04600000,28.90000000,32.95100000,30.90000000,57.99300000,30.90000000,?,29.90000000,67.64000000
