,"690 K",,"728 K",,"759 K",,"854 K",,"866 K",,"899 K"
-15.70000000,6.86410000,-15.70000000,5.58670000,-15.70000000,4.88880000,-13.70000000,3.86100000,-13.70000000,3.76200000,-14.70000000,3.01210000
-15.60000000,6.90880000,-15.60000000,5.61860000,-15.60000000,4.93030000,-13.60000000,3.89930000,-13.60000000,3.80350000,-14.60000000,3.02010000
-15.50000000,6.98210000,-15.50000000,5.64740000,-15.50000000,4.98770000,-13.50000000,3.94720000,-13.50000000,3.84660000,-14.50000000,3.03280000
-15.40000000,7.04750000,-15.40000000,5.67450000,-15.40000000,5.02440000,-13.40000000,3.99500000,-13.40000000,3.88010000,-14.40000000,3.07430000
-15.30000000,7.10020000,-15.30000000,5.74470000,-15.30000000,5.05150000,-13.30000000,4.03650000,-13.30000000,3.91990000,-14.30000000,3.12060000
-15.20000000,7.15120000,-15.20000000,5.80850000,-15.20000000,5.09300000,-13.20000000,4.05890000,-13.20000000,3.95340000,-14.20000000,3.14610000
-15.10000000,7.20390000,-15.10000000,5.83240000,-15.10000000,5.15360000,-13.10000000,4.08920000,-13.10000000,3.99170000,-14.10000000,3.17320000
-15.00000000,7.26610000,-15.00000000,5.87870000,-15.00000000,5.19350000,-13.00000000,4.14180000,-13.00000000,4.04600000,-14.00000000,3.18440000
-14.90000000,7.31870000,-14.90000000,5.93290000,-14.90000000,5.23020000,-12.90000000,4.20400000,-12.90000000,4.09860000,-13.90000000,3.21470000
-14.80000000,7.38100000,-14.80000000,5.97280000,-14.80000000,5.27970000,-12.80000000,4.25990000,-12.80000000,4.12730000,-13.80000000,3.26730000
-14.70000000,7.46070000,-14.70000000,6.03820000,-14.70000000,5.32110000,-12.70000000,4.30450000,-12.70000000,4.17040000,-13.70000000,3.30080000
-14.60000000,7.53570000,-14.60000000,6.10200000,-14.60000000,5.38020000,-12.60000000,4.33800000,-12.60000000,4.24540000,-13.60000000,3.32320000
-14.50000000,7.58990000,-14.50000000,6.14350000,-14.50000000,5.42640000,-12.50000000,4.38270000,-12.50000000,4.30600000,-13.50000000,3.36780000
