Time       Trigger  Sample
-0.00270    0.10    6.44
-0.00269    0.10    6.44
-0.00268    0.10    6.48
-0.00267    0.10    6.44
-0.00266    0.10    6.44
-0.00265    0.12    6.48
-0.00264    0.10    6.44
-0.00263    0.10    6.44
-0.00262    0.10    6.48
-0.00261    0.10    6.44
-0.00260    0.12    6.44
-0.00259    0.10    6.44
-0.00258    0.10    6.44
-0.00257    0.10    6.48
-0.00256    0.08    6.48
-0.00255    0.10    6.44
-0.00254    0.10    6.44
-0.00253    0.12    6.44
-0.00252    0.10    6.48
-0.00251    0.12    6.48
-0.00250    0.12    6.48
-0.00249    0.10    6.44
-0.00248    0.10    6.48
-0.00247    0.12    6.44
-0.00246    0.12    6.44
-0.00245    0.10    6.44
-0.00244    0.10    6.48
-0.00243    0.10    6.48
-0.00242    0.12    6.48
-0.00241    0.10    6.44
-0.00240    0.10    6.44
-0.00239    0.10    6.44
-0.00238    0.10    6.44
-0.00237    0.10    6.48
-0.00236    0.10    6.44
-0.00235    0.10    6.44
-0.00234    0.12    6.44
-0.00233    0.12    6.44
-0.00232    0.10    6.44
-0.00231    0.12    6.48
-0.00230    0.10    6.48
-0.00229    0.10    6.44
-0.00228    0.12    6.44
-0.00227    0.10    6.44
-0.00226    0.12    6.44
-0.00225    0.10    6.44
-0.00224    0.10    6.48
-0.00223    0.10    6.48
-0.00222    0.10    6.44
-0.00221    0.12    6.48
-0.00220    0.10    6.44
-0.00219    0.10    6.44
-0.00218    0.10    6.44
-0.00217    0.10    6.44
-0.00216    0.10    6.44
-0.00215    0.10    6.44
-0.00214    0.12    6.44
-0.00213    0.10    6.44
-0.00212    0.10    6.44
-0.00211    0.10    6.48
-0.00210    0.12    6.44
-0.00209    0.10    6.44
-0.00208    0.12    6.44
-0.00207    0.12    6.44
-0.00206    0.12    6.44
-0.00205    0.10    6.48
-0.00204    0.10    6.44
-0.00203    0.10    6.48
-0.00202    0.10    6.48
-0.00201    0.10    6.44
-0.00200    0.10    6.44
-0.00199    0.10    6.48
-0.00198    0.12    6.44
-0.00197    0.10    6.44
-0.00196    0.12    6.44
-0.00195    0.10    6.44
-0.00194    0.12    6.44
-0.00193    0.12    6.44
-0.00192    0.10    6.48
-0.00191    0.10    6.44
-0.00190    0.10    6.48
-0.00189    0.10    6.48
-0.00188    0.10    6.44
-0.00187    0.10    6.44
-0.00186    0.10    6.44
-0.00185    0.10    6.48
-0.00184    0.10    6.44
-0.00183    0.10    6.44
-0.00182    0.10    6.48
-0.00181    0.10    6.44
-0.00180    0.10    6.44
-0.00179    0.08    6.44
-0.00178    0.20    6.48
-0.00177    0.12    6.48
-0.00176    0.10    6.44
-0.00175    0.10    6.44
-0.00174    0.08    6.44
-0.00173    0.10    6.44
-0.00172    0.10    6.44
-0.00171    0.12    6.44
-0.00170    0.10    6.44
-0.00169    0.10    6.44
-0.00168    0.10    6.44
-0.00167    0.12    6.48
-0.00166    0.10    6.44
-0.00165    0.10    6.48
-0.00164    0.12    6.48
-0.00163    0.12    6.44
-0.00162    0.12    6.44
-0.00161    0.10    6.44
-0.00160    0.12    6.44
-0.00159    0.10    6.48
-0.00158    0.10    6.44
-0.00157    0.12    6.44
-0.00156    0.12    6.44
-0.00155    0.10    6.44
-0.00154    0.12    6.44
-0.00153    0.12    6.44
-0.00152    0.10    6.44
-0.00151    0.10    6.44
-0.00150    0.10    6.44
-0.00149    0.10    6.44
-0.00148    0.10    6.44
-0.00147    0.10    6.44
-0.00146    0.10    6.48
-0.00145    0.10    6.44
-0.00144    0.10    6.44
-0.00143    0.10    6.44
-0.00142    0.10    6.44
-0.00141    0.10    6.44
-0.00140    0.10    6.44
-0.00139    0.10    6.44
-0.00138    0.10    6.44
-0.00137    0.10    6.44
-0.00136    0.10    6.44
-0.00135    0.12    6.44
-0.00134    0.12    6.44
-0.00133    0.10    6.48
-0.00132    0.10    6.44
-0.00131    0.10    6.48
-0.00130    0.10    6.44
-0.00129    0.06    6.44
-0.00128    0.10    6.44
-0.00127    0.10    6.48
-0.00126    0.10    6.44
-0.00125    0.10    6.48
-0.00124    0.10    6.44
-0.00123    0.10    6.44
-0.00122    0.10    6.44
-0.00121    0.10    6.44
-0.00120    0.12    6.44
-0.00119    0.12    6.48
-0.00118    0.14    6.44
